length,width,height,count,location
18.0,7.0,1000.0,1,HSG¼ºµ¿
19.0,12.0,1000.0,1,HSG¼ºµ¿
21.0,5.0,1000.0,1,HSG¼ºµ¿
21.0,14.0,1000.0,1,HSG¼ºµ¿
22.0,22.0,1000.0,1,´ö°î1
10.0,9.0,5.0,1,´ö°î2
15.0,8.0,5.0,1,´ö°î2
20.0,6.0,5.0,1,´ö°î2
20.0,8.0,5.0,1,´ö°î2
20.0,11.0,5.0,1,´ö°î2
15.0,12.0,5.0,1,´ö°î2
13.0,12.0,5.8,1,ºÀ¾Ï8
13.0,13.0,5.8,1,ºÀ¾Ï8
14.0,14.0,5.8,1,ºÀ¾Ï8
15.0,12.0,5.8,1,ºÀ¾Ï8
17.0,10.0,5.8,1,ºÀ¾Ï8
18.0,11.0,5.8,1,ºÀ¾Ï8
20.0,10.0,5.8,1,ºÀ¾Ï8
12.0,6.0,5.8,1,ºÀ¾Ï9
13.0,13.0,5.8,1,ºÀ¾Ï9
16.0,12.0,5.8,1,ºÀ¾Ï9
17.0,16.0,1000.0,1,¿Àºñ
10.0,7.0,1000.0,1,ÇÑ³»
13.0,10.0,1000.0,1,ÇÑ³»
13.0,11.0,1000.0,1,ÇÑ³»
15.0,8.0,1000.0,1,ÇÑ³»
17.0,7.0,1000.0,1,ÇÑ³»
17.0,13.0,1000.0,1,ÇÑ³»
20.0,8.0,1000.0,1,ÇÑ³»
