exp_num,objective,time
0,145917.5,200.61348414421082
1,279032.5,373.91104912757874
2,335661.5,443.9900360107422
3,318828.5,656.2925705909729
4,173019.75,336.0329866409302
5,341695.5,573.0413203239441
6,123183.5,301.4233765602112
7,163877.25,181.98723554611206
8,367777.75,375.6419315338135
9,287196.0,632.5914485454559
