vessel_id,block,length,width,height,weight
SN2638,B201S,15.0,11.0,3.2,45.0
SN2637,D522S,11.0,11.0,2.8,6.0
SN2638,B201P,15.0,11.0,3.2,53.0
SN2634,D731S,14.0,11.0,1.0,11.0
SN2634,D733S,14.0,11.0,2.6,14.0
SN2599,D714S,15.0,11.0,1.0,11.0
SN2599,D712S,19.0,11.0,1.0,14.0
SN2599,D711S,19.0,11.0,1.0,15.0
,,19.0,9.0,5.0,1000.0
,,19.0,9.0,5.0,1000.0
,,19.0,9.0,5.0,1000.0
,,17.0,10.0,5.0,1000.0
,,17.0,11.0,5.0,1000.0
,,18.0,9.0,5.0,1000.0
,,19.0,11.0,5.0,1000.0
,,20.0,11.0,5.0,1000.0
,,16.0,12.0,5.0,1000.0
,,19.0,14.0,5.0,1000.0
