,name,length,width,height,count
0,SY1,13,11,inf,6
1,SY1,17,15,inf,6
2,SY2,17,11,inf,6
3,SY2,19,17,inf,6
4,SY3,19,11,inf,6
5,SY3,21,19,inf,6
