vessel_id,block,length,width,height,weight,destination,slot_length,slot_width,slot_height,slot_space,block_space,Batch
 SN2614, S610P,15.0,11.0,4.0,2.0,덕곡1,16.0,12.0,1000.0,192.0,165.0,0_1.0
 SN2602, F540C,17.0,15.0,3.2,61.0,성동,25.0,22.0,1000.0,550.0,255.0,6_1.0
 SN2456, E611P,16.0,11.0,2.5,16.0,덕곡1,16.0,12.0,1000.0,192.0,176.0,0_1.0
 SN2601, B202P,15.0,11.0,7.5,11.0,덕곡1,16.0,12.0,1000.0,192.0,165.0,0_1.0
 SN2597, D360P,16.0,15.0,4.9,27.0,신한내,25.0,23.0,1000.0,575.0,240.0,8_1.0
 SN2607, A110P,11.0,7.0,10.7,18.0,덕곡1,23.0,16.0,1000.0,368.0,77.0,0_1.0
 SN2611, F522S,12.0,11.0,3.6,15.0,덕곡1,23.0,16.0,1000.0,368.0,132.0,0_1.0
 SN2601, D311P,20.0,14.0,4.9,48.0,봉암9,21.0,15.0,5.0,315.0,280.0,5_1.0
 SN2615, E410P,18.0,15.0,5.4,40.0,신한내,25.0,23.0,1000.0,575.0,270.0,8_1.0
 SN2611, B140S,21.0,16.0,3.2,69.0,성동,25.0,22.0,1000.0,550.0,336.0,6_1.0
 SN2603, B110S,22.0,16.0,3.2,67.0,성동,25.0,22.0,1000.0,550.0,352.0,6_1.0
 SN2603, D131S,16.0,11.0,1.9,36.0,덕곡1,23.0,16.0,1000.0,368.0,176.0,0_1.0
 SN2455, W831C,14.0,11.0,2.4,7.0,덕곡1,24.0,19.0,1000.0,456.0,154.0,0_1.0
 SN2607, E432P,11.0,6.0,2.3,7.0,덕곡1,24.0,19.0,1000.0,456.0,66.0,0_1.0
 SN2599, E11YS,11.0,5.0,5.4,11.0,봉암8,21.0,15.0,5.0,315.0,55.0,4_1.0
 SN2590, F300C,11.0,9.0,3.0,10.0,덕곡1,24.0,19.0,1000.0,456.0,99.0,0_1.0
 SN2601, M900S,11.0,6.0,3.3,1.0,덕곡1,25.0,23.0,1000.0,575.0,66.0,0_1.0
 SN2456, A12BP,11.0,6.0,2.6,4.0,덕곡1,25.0,23.0,1000.0,575.0,66.0,0_2.0
 SN2611, T330S,18.0,16.0,2.9,45.0,성동,25.0,22.0,1000.0,550.0,288.0,6_1.0
 SN2615, M410P,24.0,11.0,3.5,42.0,성동,25.0,22.0,1000.0,550.0,264.0,6_2.0
 SN2591, D150S,12.0,11.0,5.8,18.0,오비3,21.0,15.0,1000.0,315.0,132.0,3_1.0
 SN2602, T350P,17.0,16.0,2.8,33.0,신한내,25.0,23.0,1000.0,575.0,272.0,8_1.0
 SN2627, D380S,19.0,13.0,5.3,57.0,OFD,25.0,16.0,1000.0,400.0,247.0,9_1.0
 SN2602, T150C,20.0,15.0,2.8,58.0,신한내,25.0,23.0,1000.0,575.0,300.0,8_1.0
 SN2452, S830P,17.0,11.0,5.8,21.0,한내,25.0,14.0,1000.0,350.0,187.0,7_1.0
