vessel_id,block,length,width,height,weight,destination,slot_length,slot_width,slot_height,slot_space,block_space,Batch
 SN2614, S390P,15.0,14.0,5.2,18.0,덕곡1,23.0,16.0,1000.0,368.0,210.0,0_1.0
 SN2604, D710S,20.0,17.0,6.7,36.0,성동,25.0,22.0,1000.0,550.0,340.0,6_1.0
 SN2598, T321P,19.0,15.0,3.1,85.0,신한내,25.0,23.0,1000.0,575.0,285.0,8_1.0
 SN2602, D150C,20.0,16.0,2.7,43.0,신한내,25.0,23.0,1000.0,575.0,320.0,8_1.0
 SN2598, T110S,16.0,15.0,2.8,94.0,신한내,25.0,23.0,1000.0,575.0,240.0,8_1.0
 SN2597, T350S,16.0,16.0,2.8,32.0,신한내,25.0,23.0,1000.0,575.0,256.0,8_1.0
 SN2614, F421P,11.0,10.0,2.8,6.0,OFD,16.0,14.0,1000.0,224.0,110.0,9_1.0
 SN2603, H140S,21.0,12.0,6.4,33.0,덕곡1,23.0,16.0,1000.0,368.0,252.0,0_1.0
 SN2457, E413S,15.0,11.0,5.7,25.0,OFD,25.0,16.0,1000.0,400.0,165.0,9_1.0
 SN2614, F332P,11.0,8.0,2.5,11.0,OFD,25.0,16.0,1000.0,400.0,88.0,9_1.0
 SN2615, E511S,12.0,11.0,5.2,17.0,OFD,25.0,16.0,1000.0,400.0,132.0,9_1.0
 SN2611, E370C,19.0,11.0,4.9,18.0,오비1,21.0,16.0,1000.0,336.0,209.0,2_1.0
 SN2616, E43AP,11.0,11.0,2.6,7.0,OFD,25.0,16.0,1000.0,400.0,121.0,9_1.0
 SN2598, T310P,16.0,16.0,2.8,66.0,신한내,25.0,23.0,1000.0,575.0,256.0,8_2.0
 SN2627, B180P,19.0,16.0,2.3,47.0,신한내,25.0,23.0,1000.0,575.0,304.0,8_2.0
 SN2598, T310S,16.0,16.0,2.8,77.0,신한내,25.0,23.0,1000.0,575.0,256.0,8_2.0
 SN2614, F728P,11.0,7.0,6.9,13.0,덕곡1,16.0,12.0,1000.0,192.0,77.0,0_1.0
 SN2615, L150P,18.0,12.0,8.3,28.0,덕곡1,24.0,19.0,1000.0,456.0,216.0,0_1.0
 SN2457, E210P,15.0,13.0,6.0,33.0,덕곡1,24.0,19.0,1000.0,456.0,195.0,0_1.0
 SN2602, F230C,11.0,10.0,4.6,6.0,성동,22.0,12.0,1000.0,264.0,110.0,6_1.0
 SN2456, D391P,21.0,11.0,4.8,14.0,덕곡1,25.0,23.0,1000.0,575.0,231.0,0_1.0
 SN2611, E520S,22.0,14.0,5.3,59.0,한내,25.0,14.0,1000.0,350.0,308.0,7_1.0
 SN2597, Y730C,12.0,12.0,4.0,7.0,덕곡2,21.0,13.0,5.0,273.0,144.0,1_1.0
 SN2615, S180P,17.0,12.0,4.5,15.0,오비1,21.0,16.0,1000.0,336.0,204.0,2_1.0
 SN2616, E42AP,11.0,7.0,2.3,10.0,오비3,21.0,15.0,1000.0,315.0,77.0,3_1.0
 SN2614, E550C,13.0,11.0,7.2,23.0,오비1,16.0,13.0,1000.0,208.0,143.0,2_1.0
 SN2602, F530C,21.0,11.0,3.3,25.0,봉암8,21.0,15.0,5.0,315.0,231.0,4_1.0
 SN2611, E510P,21.0,14.0,5.3,49.0,성동,22.0,14.0,1000.0,308.0,294.0,6_1.0
 SN2611, D381S,16.0,14.0,4.1,35.0,덕곡1,25.0,23.0,1000.0,575.0,224.0,0_2.0
 SN2599, E11FP,11.0,8.0,3.2,22.0,신한내,23.0,13.0,1000.0,299.0,88.0,8_2.0
 SN2608, E114S,16.0,11.0,4.3,21.0,오비1,16.0,16.0,1000.0,256.0,176.0,2_1.0
 SN2603, T320S,18.0,16.0,2.9,46.0,신한내,25.0,23.0,1000.0,575.0,288.0,8_2.0
 SN2603, D320S,16.0,14.0,4.2,26.0,오비1,16.0,16.0,1000.0,256.0,224.0,2_1.0
 SN2590, E510S,14.0,12.0,7.1,31.0,덕곡1,16.0,12.0,1000.0,192.0,168.0,0_2.0
 SN2456, E210S,15.0,13.0,6.0,32.0,덕곡1,25.0,23.0,1000.0,575.0,195.0,0_2.0
 SN2602, D620S,13.0,11.0,5.8,46.0,오비1,24.0,17.0,1000.0,408.0,143.0,2_1.0
 SN2457, E241P,15.0,11.0,6.2,32.0,오비1,24.0,17.0,1000.0,408.0,165.0,2_1.0
 SN2456, D391S,20.0,11.0,4.8,18.0,한내,25.0,14.0,1000.0,350.0,220.0,7_1.0
 SN2454, S401P,18.0,17.0,2.6,74.0,신한내,25.0,23.0,1000.0,575.0,306.0,8_3.0
 SN2603, D330P,16.0,13.0,4.2,24.0,덕곡2,21.0,13.0,5.0,273.0,208.0,1_1.0
 SN2598, M900P,11.0,6.0,3.3,2.0,덕곡1,16.0,12.0,1000.0,192.0,66.0,0_2.0
 SN2614, F421S,11.0,10.0,3.6,6.0,봉암8,21.0,15.0,5.0,315.0,110.0,4_1.0
 SN2611, T510P,11.0,6.0,2.7,7.0,봉암8,21.0,15.0,5.0,315.0,66.0,4_1.0
 SN2627, S101P,20.0,11.0,2.5,41.0,오비3,21.0,15.0,1000.0,315.0,220.0,3_1.0
 SN2603, F421P,13.0,11.0,3.8,20.0,봉암8,21.0,15.0,5.0,315.0,143.0,4_1.0
 SN2456, E373P,12.0,11.0,1.0,10.0,덕곡2,21.0,13.0,5.0,273.0,132.0,1_1.0
 SN2598, H150P,15.0,11.0,8.2,14.0,한내,25.0,14.0,1000.0,350.0,165.0,7_1.0
 SN2454, F520P,16.0,14.0,5.2,22.0,오비3,21.0,15.0,1000.0,315.0,224.0,3_1.0
 SN2611, F311P,15.0,11.0,5.3,25.0,오비1,24.0,17.0,1000.0,408.0,165.0,2_2.0
 SN2602, D400P,18.0,13.0,4.2,30.0,오비1,25.0,23.0,1000.0,575.0,234.0,2_2.0
 SN2454, Y900C,13.0,11.0,2.8,64.0,오비1,25.0,23.0,1000.0,575.0,143.0,2_2.0
 SN2591, D160P,12.0,11.0,5.8,19.0,오비1,25.0,23.0,1000.0,575.0,132.0,2_2.0
 SN2457, E511S,13.0,11.0,2.8,19.0,신한내,23.0,13.0,1000.0,299.0,143.0,8_3.0
 SN2598, M310S,22.0,18.0,4.0,64.0,신한내,25.0,23.0,1000.0,575.0,396.0,8_3.0
 SN2591, A221P,17.0,17.0,4.6,46.0,신한내,25.0,23.0,1000.0,575.0,289.0,8_3.0
 SN2611, D411S,20.0,13.0,4.3,43.0,한내,25.0,14.0,1000.0,350.0,260.0,7_1.0
 SN2453, H200P,19.0,14.0,5.6,66.0,봉암9,21.0,15.0,5.0,315.0,266.0,5_1.0
 SN2598, E420P,23.0,22.0,5.9,124.0,신한내,25.0,23.0,1000.0,575.0,506.0,8_4.0
 SN2598, B141S,17.0,17.0,3.1,98.0,성동,25.0,22.0,1000.0,550.0,289.0,6_1.0
 SN2589, T15NP,11.0,3.0,0.5,1.0,사내,,,,,266.0,5_1.0
 SN2612, M210P,20.0,11.0,3.6,54.0,사내,,,,,234.0,6_1.0
 SN2589, T15NP,11.0,3.0,0.5,1.0,사내,,,,,266.0,5_1.0
 SN2455, S120P,24.0,20.0,3.4,60.0,사내,,,,,66.0,6_1.0
 SN2455, S403S,18.0,11.0,2.6,17.0,사내,,,,,231.0,4_1.0
 SN2627, D180P,20.0,13.0,4.2,41.0,사내,,,,,195.0,5_1.0
 SN2598, S122S,20.0,11.0,3.8,22.0,사내,,,,,256.0,1_1.0
 SN2591, E353C,11.0,8.0,2.0,3.0,사내,,,,,224.0,8_1.0
 SN2615, M210P,16.0,11.0,4.1,44.0,사내,,,,,320.0,5_1.0
 SN2463, E424S,11.0,4.0,2.6,3.0,사내,,,,,143.0,7_1.0
 SN2615, E370P,12.0,12.0,4.0,6.0,사내,,,,,285.0,4_1.0
 SN2603, D181S,16.0,11.0,1.9,31.0,사내,,,,,195.0,4_1.0
 SN2591, D150P,12.0,11.0,5.8,19.0,사내,,,,,88.0,8_1.0
 SN2455, C390S,20.0,11.0,0.7,11.0,사내,,,,,220.0,1_1.0
 SN2603, D181S,16.0,11.0,1.9,31.0,사내,,,,,195.0,4_1.0
 SN2456, E310P,15.0,14.0,5.6,40.0,사내,,,,,396.0,4_2.0
 SN2455, S100P,20.0,14.0,3.3,42.0,사내,,,,,168.0,1_1.0
 SN2598, S122S,20.0,11.0,3.8,22.0,사내,,,,,256.0,1_1.0
 SN2601, D111P,20.0,11.0,3.4,45.0,사내,,,,,165.0,1_1.0
 SN2455, F520S,16.0,15.0,5.2,24.0,사내,,,,,176.0,8_1.0
 SN2457, B15AS,20.0,11.0,3.3,36.0,사내,,,,,110.0,4_2.0
 SN2603, D171S,20.0,11.0,1.9,45.0,사내,,,,,132.0,5_1.0
 SN2591, E332S,11.0,9.0,2.6,5.0,사내,,,,,88.0,8_1.0
 SN2456, D193S,11.0,9.0,2.3,7.0,사내,,,,,143.0,6_1.0
 SN2457, A211P,17.0,11.0,5.2,42.0,사내,,,,,306.0,5_2.0
 SN2598, D722S,18.0,11.0,1.9,15.0,사내,,,,,143.0,7_1.0
 SN2603, D181S,16.0,11.0,1.9,31.0,사내,,,,,195.0,4_2.0
 SN2456, E310P,15.0,14.0,5.6,40.0,사내,,,,,396.0,4_2.0
 SN2455, S100P,20.0,14.0,3.3,42.0,사내,,,,,168.0,1_1.0
 SN2598, F424S,11.0,9.0,4.4,7.0,사내,,,,,224.0,8_1.0
 SN2455, M510P,19.0,12.0,4.7,54.0,사내,,,,,220.0,4_3.0
 SN2456, E512S,19.0,11.0,2.0,19.0,사내,,,,,304.0,5_2.0
 SN2612, T331S,18.0,16.0,2.8,76.0,사내,,,,,204.0,8_1.0
 SN2598, B131P,17.0,16.0,3.1,101.0,사내,,,,,143.0,0_1.0
 SN2598, B131P,17.0,16.0,3.1,101.0,사내,,,,,143.0,0_1.0
 SN2614, A410S,12.0,11.0,6.6,11.0,사내,,,,,110.0,8_1.0
 SN2601, D111P,20.0,11.0,3.4,45.0,사내,,,,,165.0,1_2.0
 SN2603, D360P,15.0,14.0,4.9,23.0,사내,,,,,121.0,5_2.0
 SN2591, E353C,11.0,8.0,2.0,3.0,사내,,,,,224.0,8_2.0
 SN2612, E250C,19.0,11.0,3.4,38.0,사내,,,,,240.0,6_1.0
 SN2598, S122S,20.0,11.0,3.8,22.0,사내,,,,,256.0,1_2.0
 SN2616, E33AP,11.0,11.0,1.9,13.0,사내,,,,,289.0,5_2.0
 SN2455, M510P,19.0,12.0,4.7,54.0,사내,,,,,220.0,4_3.0
 SN2601, D111P,20.0,11.0,3.4,45.0,사내,,,,,165.0,1_2.0
 SN2611, E530C,21.0,20.0,5.2,102.0,사내,,,,,165.0,0_1.0
 SN2463, H11AS,19.0,11.0,2.6,15.0,사내,,,,,340.0,4_3.0
 SN2598, D722S,18.0,11.0,1.9,15.0,사내,,,,,143.0,7_1.0
 SN2457, A211P,17.0,11.0,5.2,42.0,사내,,,,,306.0,5_3.0
 SN2598, D722S,18.0,11.0,1.9,15.0,사내,,,,,143.0,7_1.0
 SN2614, A410S,12.0,11.0,6.6,11.0,사내,,,,,110.0,8_2.0
 SN2455, C390S,20.0,11.0,0.7,11.0,사내,,,,,220.0,1_2.0
 SN2611, D371S,20.0,14.0,4.1,48.0,사내,,,,,77.0,6_1.0
 SN2598, D722S,18.0,11.0,1.9,15.0,사내,,,,,143.0,7_1.0
 SN2603, D360P,15.0,14.0,4.9,23.0,사내,,,,,121.0,5_3.0
 SN2611, S150P,21.0,19.0,5.4,59.0,사내,,,,,210.0,2_1.0
 SN2614, E510P,15.0,14.0,7.1,38.0,사내,,,,,77.0,6_1.0
 SN2616, E33AP,11.0,11.0,1.9,13.0,사내,,,,,289.0,5_3.0
 SN2614, E510P,15.0,14.0,7.1,38.0,사내,,,,,77.0,6_1.0
 SN2452, S830P,17.0,11.0,5.8,21.0,사내,,,,,256.0,7_1.0
