vessel_id,block,length,width,height,weight,destination,slot_length,slot_width,slot_height,slot_space,block_space,Batch
 SN2597, Y740C,12.0,12.0,4.0,6.0,덕곡1,23.0,16.0,1000.0,368.0,144.0,0_1.0
 SN2455, A120C,17.0,15.0,4.8,32.0,신한내,25.0,23.0,1000.0,575.0,255.0,8_1.0
 SN2598, S130S,21.0,16.0,8.1,49.0,신한내,25.0,23.0,1000.0,575.0,336.0,8_1.0
 SN2463, D29AP,12.0,11.0,2.0,6.0,덕곡1,23.0,16.0,1000.0,368.0,132.0,0_1.0
 SN2590, E530P,16.0,15.0,6.5,33.0,신한내,25.0,23.0,1000.0,575.0,240.0,8_1.0
 SN2604, G140S,14.0,11.0,4.7,22.0,오비3,21.0,15.0,1000.0,315.0,154.0,3_1.0
 SN2591, E332S,11.0,9.0,2.6,5.0,덕곡1,24.0,19.0,1000.0,456.0,99.0,0_1.0
 SN2612, E524S,11.0,9.0,4.1,4.0,덕곡1,24.0,19.0,1000.0,456.0,99.0,0_1.0
 SN2602, F230C,11.0,10.0,4.6,6.0,덕곡1,24.0,19.0,1000.0,456.0,110.0,0_1.0
 SN2453, M930P,11.0,3.0,2.0,2.0,덕곡1,25.0,23.0,1000.0,575.0,33.0,0_1.0
 SN2599, E11FS,11.0,8.0,3.2,21.0,덕곡1,25.0,23.0,1000.0,575.0,88.0,0_1.0
 SN2602, F440C,17.0,17.0,8.1,35.0,신한내,25.0,23.0,1000.0,575.0,289.0,8_1.0
 SN2627, E510P,24.0,12.0,7.8,51.0,성동,25.0,22.0,1000.0,550.0,288.0,6_1.0
 SN2598, T310P,16.0,16.0,2.8,66.0,신한내,25.0,23.0,1000.0,575.0,256.0,8_2.0
 SN2456, B191P,20.0,16.0,2.4,71.0,신한내,25.0,23.0,1000.0,575.0,320.0,8_2.0
 SN2603, E310S,15.0,14.0,5.0,25.0,OFD,16.0,14.0,1000.0,224.0,210.0,9_1.0
 SN2590, E540S,15.0,14.0,3.4,33.0,봉암9,21.0,15.0,5.0,315.0,210.0,5_1.0
 SN2611, T350P,17.0,16.0,2.8,33.0,신한내,25.0,23.0,1000.0,575.0,272.0,8_2.0
 SN2463, E322P,18.0,11.0,3.2,40.0,OFD,25.0,16.0,1000.0,400.0,198.0,9_1.0
 SN2601, E420P,21.0,15.0,5.9,62.0,신한내,25.0,23.0,1000.0,575.0,315.0,8_2.0
 SN2611, E410S,21.0,16.0,5.7,58.0,신한내,25.0,23.0,1000.0,575.0,336.0,8_3.0
 SN2591, S161S,15.0,13.0,3.1,37.0,OFD,25.0,16.0,1000.0,400.0,195.0,9_1.0
 SN2598, B141S,17.0,17.0,3.1,98.0,신한내,25.0,23.0,1000.0,575.0,289.0,8_3.0
 SN2453, S400P,20.0,18.0,5.2,76.0,오비1,25.0,23.0,1000.0,575.0,360.0,2_1.0
 SN2463, E421S,16.0,11.0,5.3,39.0,OFD,25.0,16.0,1000.0,400.0,176.0,9_1.0
 SN2603, H130S,21.0,12.0,6.5,33.0,오비3,21.0,15.0,1000.0,315.0,252.0,3_1.0
 SN2611, B201S,15.0,11.0,3.2,44.0,봉암9,21.0,15.0,5.0,315.0,165.0,5_1.0
 SN2627, E360C,15.0,12.0,4.3,30.0,봉암8,21.0,15.0,5.0,315.0,180.0,4_1.0
 SN2597, D410P,18.0,14.0,4.4,39.0,OFD,25.0,16.0,1000.0,400.0,252.0,9_1.0
