length,width,height,count,location
14.9,23,5.8,6,ºÀ¾Ï9
14.9,23,5.8,6,ºÀ¾Ï8
18.9,25,100,2,¿Àºñ
15.9,25,100,3,¿Àºñ
18,23,100,2,´ö°î1
15.9,23,100,3,´ö°î1
22,25,100,6,HSG¼ºµ¿
23,30,100,12,½ÅÇÑ³»
14.9,27,100,6,ÇÑ³»
12.9,25,100,1,¿Àºñ3
10.9,25,100,1,¿Àºñ3
12.9,21,5,3,´ö°î2
