,0
0,3490.8927569413713
1,3479.3264226399574
2,3490.973120598312
3,3507.9752843932533
4,3467.1783112723037
5,3485.216426336629
6,3483.4521275109505
7,3558.3186258166775
8,3538.8100277942567
9,3571.6402777102594
10,3574.6137934802814
11,3568.591419572079
12,3578.619454660031
13,3512.5604917010064
14,3566.7114099068453
15,3613.4790589940676
16,3579.956856651381
17,3553.000416426681
18,3572.863201027193
19,3624.3887345728567
20,3611.661927451573
21,3644.0990049748143
22,3653.422386397743
23,3621.1694591362348
24,3644.81089919322
25,3628.061014385808
26,3662.6462383524045
27,3642.3845061674447
28,3614.621005915325
29,3628.266506647339
30,3617.67447021708
31,3593.243546927863
32,3626.795045344977
33,3608.296878665784
34,3632.507125400857
35,3597.122743664593
36,3622.319155750273
37,3631.6615808987613
38,3631.9574541265442
39,3648.866024400529
40,3652.1374737070187
41,3542.4466604999748
42,3405.014194696275
43,3294.7352234390164
44,3312.516665992679
45,3287.96467958218
46,3249.1918305615013
47,3217.8417827113444
48,3257.509226063779
49,3271.050937569898
50,3331.014260765133
51,3373.422452399949
52,3441.219278292921
53,3454.943154350252
54,3451.318608714684
55,3495.8396886779556
56,3561.6510126926028
57,3576.400941234677
58,3590.776672970412
59,3542.927071478466
60,3648.9706217140965
61,3596.2997043314895
62,3656.5562886504063
63,3677.118941339849
64,3692.800921720678
65,3678.331744514832
66,3694.564987234284
67,3716.3816706216867
68,3770.0856823263657
69,3750.0800170167113
70,3733.5793949666613
71,3776.118471253149
72,3804.727566986329
73,3813.165421197211
74,3747.464156928324
75,3829.424750461387
76,3845.598789551373
77,3820.6411326360876
78,3806.6766535720367
79,3802.022640342755
80,3789.980093483003
81,3810.092495638474
82,3794.9697661381983
83,3798.4838973755077
84,3808.485925614248
85,3753.3396980132648
86,3766.985798891887
87,3755.624762096627
88,3786.516731213665
89,3717.71373712884
90,3740.7755626218263
91,3733.5213165988994
92,3695.4951970124202
93,3720.342999368086
94,3710.9049567045518
95,3745.720123038778
96,3728.679280082162
97,3736.3075027142354
98,3746.364614249635
99,3735.524086627834
100,3773.2632363366793
101,3766.0535031563436
102,3753.7520739250285
103,3739.792067842575
104,3768.2325976194165
105,3786.5767485801275
106,3755.082666417307
107,3840.638459382644
108,3833.661354781019
109,3838.1548806212472
110,3851.8004826381616
111,3874.088292326203
112,3824.797864931495
113,3852.6055096485084
114,3889.0379988979203
115,3879.769062389725
116,3920.4460114617586
117,3952.015218475835
118,3948.709666435021
119,3956.8210343480077
120,3961.1299014574884
121,3982.3280911516795
122,4001.3316769573644
123,3947.8309527260067
124,3999.65588115091
125,3986.5312748215774
126,3973.1349824314725
127,4021.636243853529
128,4039.3841356551457
129,4007.4045796693877
130,4005.1727156732695
131,4009.6583506524303
132,4007.9859410032823
133,4052.35361711057
134,4064.56295433975
135,4072.330849026032
136,4076.189248044996
137,4103.508579141366
138,4082.457340499575
139,4153.508334019614
140,4121.29266963085
141,4137.6939623323415
142,4152.105596863608
143,4100.925744646257
144,4107.477096139371
145,4080.0156548127356
146,4070.9767452528718
147,4049.256404708283
148,4061.9957299689827
149,4068.9143587811823
150,4009.354617844938
151,4048.11814487323
152,3981.865065498855
153,4036.2528044718324
154,3990.416669402411
155,4007.576579116113
156,4025.1634601902206
157,3994.6880527507324
158,4025.806128524562
159,4013.106368671213
160,3961.3934260842616
161,3968.88507915156
162,4002.555030246308
163,3927.8903446371737
164,3910.2997101701662
165,3960.764348802833
166,3937.4479150585103
167,3963.618645487978
168,3943.121786373304
169,3895.2855524933543
170,3943.8610779005257
171,3929.140394709123
172,3950.7629960023714
173,3951.6735404928413
174,3947.0708085373367
175,3910.893215447682
176,3924.9226765415456
177,3947.632924644747
178,3926.5961773026506
179,3917.256981838006
180,3950.115688060188
181,3980.6038275739897
182,3954.7739725973597
183,3984.8024711747535
184,3984.964576561837
185,4025.203915982442
186,4067.042471246691
187,4073.9099893630637
188,4076.678412617275
189,4058.4432861695923
190,4079.3049165499133
191,4034.1242451282274
192,4060.1013431030365
193,4075.1170402128805
194,4066.6697154577478
195,4073.941180289341
196,4085.6038192135447
197,4154.559333731651
198,4144.162941698508
199,4141.766438796997
