id,vessel_id,block,width,length,height,weight
0, SN2603, D411P,15.5,21.0,5.8,43.0
1, SN2603, D191S,15.5,21.0,5.8,31.0
2, SN2611, F522S,15.5,21.0,5.8,15.0
3, SN2615, S141S,15.5,21.0,5.8,31.0
4, SN2614, E650C,15.5,21.0,5.8,57.0
5, SN2456, D194S,15.5,21.0,5.8,8.0
6, SN2597, F210S,15.5,21.0,5.8,8.0
7, SN2457, H14AS,15.5,21.0,5.8,3.0
8, SN2598, F421S,15.5,21.0,5.8,22.0
9, SN2603, B201S,15.5,21.0,5.8,44.0
10, SN2597, D320P,15.5,21.0,5.8,25.0
11, SN2611, B201S,15.5,21.0,5.8,44.0
12, SN2601, T520S,15.5,21.0,5.8,3.0
13, SN2602, G370S,11.0,15.5,5.8,3.0
14, SN2611, E360C,15.5,21.0,5.8,6.0
15, SN2601, E340C,15.5,21.0,5.8,67.0
16, SN2453, H200S,15.5,21.0,5.8,66.0
17, SN2454, F710S,15.5,21.0,5.8,20.0
18, SN2454, Y900C,15.5,21.0,5.8,64.0
19, SN2603, D391P,15.5,21.0,5.8,36.0
20, SN2452, C710P,15.5,21.0,5.8,9.0
21, SN2615, E340C,15.5,21.0,5.8,33.0
22, SN2616, E33CP,15.5,21.0,5.8,6.0
23, SN2604, Y900S,15.5,21.0,5.8,39.0
24, SN2455, F640P,15.5,21.0,5.8,15.0
25, SN2598, D321S,15.5,21.0,5.8,41.0
26, SN2598, T110P,15.5,21.0,5.8,77.0
27, SN2615, S08AS,15.5,21.0,5.8,8.0
28, SN2611, D820S,11.0,15.5,5.8,2.0
29, SN2611, T120P,15.5,21.0,5.8,44.0
30, SN2615, S082S,15.5,21.0,5.8,9.0
31, SN2607, E232P,15.5,21.0,5.8,26.0
32, SN2612, M210S,15.5,21.0,5.8,55.0
33, SN2456, A12AP,15.5,21.0,5.8,6.0
34, SN2603, D640S,15.5,21.0,5.8,29.0
35, SN2456, D191P,15.5,21.0,5.8,7.0
36, SN2463, E423S,15.5,21.0,5.8,10.0
37, SN2455, M510S,15.5,21.0,5.8,58.0
38, SN2608, E115P,15.5,21.0,5.8,5.0
39, SN2627, F510S,15.5,21.0,5.8,28.0
40, SN2608, E114S,15.5,21.0,5.8,21.0
41, SN2607, M210S,15.5,21.0,5.8,54.0
42,,,15.5,21.0,5.8,
43,,,15.5,21.0,5.8,
44,,,15.5,21.0,5.8,
45,,,15.5,21.0,5.8,
46,,,15.5,21.0,5.8,
47,,,15.5,21.0,5.8,
48,,,15.5,21.0,5.8,
49,,,15.5,21.0,5.8,
13,,,10.0,15.5,5.8,
28,,,10.0,15.5,5.8,
