vessel_id,block,length,width,height,weight
 SN2598, B131S,15.7,16.2,3.1,111
 SN2611, B201P,14.2,9.7,3.2,52
 SN2611, B201S,14.2,9.7,3.2,44
 SN2611, S140P,20.4,18.1,5.4,62
 SN2611, S140S,20.4,18.1,5.4,61
 SN2611, T120P,13.4,16.4,2.9,44
 SN2611, T120S,13.4,15.5,2.9,42
 SN2598, T321P,18.5,14.9,3.1,85
 SN2598, T321S,18.5,15.5,3.1,94
 SN2603, D121P,15.9,10,1.9,32
 SN2603, D371S,19.8,13.8,4.1,48
 SN2603, D510S,17.4,5,2.2,16
 SN2603, T151C,15,19.8,2.7,98
 SN2455, B180P,17.2,18.4,2.3,53
 SN2455, B180S,17.2,18.3,2.3,53
 SN2611, S130P,20.8,18.1,5.4,60
 SN2611, S130S,20.8,18.1,5.4,60
 SN2455, S100P,19.3,13.3,3.3,42
 SN2455, S100S,19.3,13.3,3.3,42
 SN2603, D121S,15.9,9.9,1.9,33
 SN2603, D371P,19.8,13.8,4.1,48
 SN2603, T351P,15.7,16.7,2.7,66
 SN2603, T351S,15.7,15.7,2.7,51
 SN2611, B140P,20.4,15.7,3.2,71
 SN2611, B140S,20.4,15.7,3.2,69
 SN2598, B141P,15.7,16.2,3.1,90
 SN2598, B141S,16.1,16.2,3.1,98
 SN2598, T322P,7.2,14.9,3,33
 SN2598, T322S,7.2,15.5,3,38
 SN2603, B201P,14.2,9.7,3.2,52
 SN2603, B201S,14.2,9.7,3.2,44
 SN2603, D341S,20,13.8,4.1,49
 SN2603, S130P,20.8,18.1,5.4,60
 SN2603, S130S,20.8,18.1,5.4,60
 SN2611, B130P,20.8,15.7,3.2,61
 SN2601, B111P,20.8,16,3.2,120
 SN2601, B111S,20.8,16,3.2,109
 SN2611, T351S,15.7,15.7,2.7,51
 SN2627, S093P,11.2,7,2.5,17
 SN2627, S093S,11.2,7,2.5,17
 SN2627, S101P,19.2,9.6,2.5,41
 SN2627, S101S,19.2,9.6,2.5,41
 SN2603, B120P,21.5,15.7,3.2,68
 SN2603, S120S,21.5,18.1,5.4,64
 SN2611, S150P,20.6,18.1,5.4,59
 SN2611, S160P,19.5,18.1,5.4,57
 SN2611, S160S,19.5,18.1,5.4,57
 SN2455, S181S,17.1,27.1,2.5,112
 SN2598, B111P,20.1,16.3,3.1,120
 SN2598, B111S,20.1,16.3,3.1,127
 SN2601, T121S,13.5,15.6,2.9,74
 SN2611, T110S,15,15,2.7,86
 SN2603, B130P,20.8,15.7,3.2,60
 SN2603, T120P,13.4,16.4,2.9,44
 SN2611, K180C,14.9,12,3.2,31
 SN2611, S110P,21.3,20.9,8.3,62
 SN2597, T350S,15.4,15.8,2.8,32
 SN2453, S400P,17.6,19.2,5.2,76
 SN2597, D340S,20.1,13.5,4.4,34
 SN2597, T350P,15.4,16.8,4.5,36
 SN2602, D211P,19.6,10,1.9,44
 SN2602, D211S,19.6,9.9,1.9,43
 SN2603, T310S,15.8,15,2.7,75
 SN2611, T140P,13.4,14.3,2.9,33
 SN2627, B191P,17,10.8,2.3,41
 SN2627, B191S,17,10.8,2.3,34
 SN2597, D211S,19.7,10,1.9,46
 SN2453, S400S,17.6,19.2,5.2,76
 SN2597, D181P,15.4,10.1,1.9,34
 SN2597, D181S,15.4,10,1.9,34
 SN2597, D191P,14.9,10.2,1.9,34
 SN2597, D191S,14.9,10,1.9,33
 SN2602, D171P,20,10,1.9,46
 SN2603, S141S,20.4,15.4,2.6,83
