길이	폭	높이	중량
10	10	12	
41	51	33.6	0
17.6	51	33.6	0
54.2	51	37.2	0
15.7	38.3	4.8	0
15.7	21.7	8.4	106
9.7	38.1	10.7	0
16.2	8	5.8	21
16.2	8	5.8	21
31.4	44.3	3.4	0
12.2	8.2	2.8	64
10	10	4	
10	10	4	
17	41	7.5	0
1.8	19	0.7	9
1.8	20	0.7	10
1.8	22	0.7	11
1.8	23	0.7	11
15.7	39.8	6.4	0
48.3	51	33.6	0
17.3	16.7	1.9	55
10.4	20.2	5.2	64
12.4	21.7	6.6	84
12.4	23.1	6.6	88
18.1	13.7	5.6	66
20	9	5	23
12.2	51	34.2	0
2.8	2	2	2
2.8	3.4	2.4	3
17.3	28.9	5.4	38
19.7	10.1	5.9	48
17.4	10.6	7.9	19
17.4	10.6	7.9	19
