id,name,length_max,width_min,width_max(<),height_max,count
1,덕곡1,23,1,16,,10
2,덕곡1,24,16,19,,9
3,덕곡1,25,19,23,,100
4,덕곡2,21,1,13,5,30
5,덕곡2,21,13,16,5,10
6,오비1,25,19,23,,10
7,오비1,16,1,16,,6
8,오비1,21,1,16,,3
9,오비1,24,1,17,,7
10,오비3,21,1,15,,13
11,봉암8,21,1,15.5,5.8,40
12,봉암9,21,1,15.5,5.8,50
13,성동,25,1,22,,84
14,한내,25,1,14,,69
15,신한내,25,1,23,,41
16,OFD,25,1,16,,20
