,0
0,-22.996837615966797
1,-24.237041473388672
2,-23.794166564941406
3,-24.659523010253906
4,-23.535717010498047
5,-22.95273208618164
6,-21.944061279296875
7,-21.851299285888672
8,-21.321983337402344
9,-21.760791778564453
