vessel_id,block,length,width,height,weight,location
 SN2603, T351P,17.0,16.0,2.7,66.0,사내
 SN2454, F320C,16.0,11.0,5.2,5.0,사내
 SN2627, B120S,19.0,18.0,2.6,53.0,사내
 SN2463, H11AP,19.0,11.0,2.6,15.0,사내
 SN2456, E210S,15.0,13.0,6.0,32.0,사내
 SN2453, S630S,18.0,11.0,7.9,19.0,사내
 SN2611, E310S,15.0,14.0,5.0,25.0,사내
 SN2454, S411S,18.0,15.0,2.6,63.0,사내
 SN2455, S180S,29.0,18.0,5.4,39.0,사내
 SN2452, E660C,18.0,17.0,1.9,55.0,사내
 SN2615, E350C,11.0,11.0,5.2,20.0,사내
 SN2463, E220S,17.0,11.0,4.2,35.0,사내
 SN2591, D150S,12.0,11.0,5.8,18.0,사내
 SN2463, A21CS,11.0,8.0,2.6,6.0,사내
 SN2607, M310P,23.0,18.0,3.6,69.0,사내
 SN2603, D530S,16.0,11.0,2.2,16.0,사내
