length,width,height,count,location
11.0,10.0,1000.0,1,HSG성동
13.0,7.0,1000.0,1,HSG성동
14.0,12.0,1000.0,1,HSG성동
15.0,13.0,1000.0,1,HSG성동
16.0,9.0,1000.0,1,HSG성동
17.0,11.0,1000.0,1,HSG성동
19.0,15.0,1000.0,1,HSG성동
19.0,18.0,1000.0,1,HSG성동
20.0,18.0,1000.0,1,HSG성동
21.0,13.0,1000.0,1,HSG성동
22.0,17.0,1000.0,1,HSG성동
23.0,21.0,1000.0,1,HSG성동
24.0,9.0,1000.0,1,HSG성동
15.0,12.0,5.0,1,덕곡2
13.0,9.0,5.8,1,봉암8
14.0,11.0,5.8,1,봉암8
14.0,13.0,5.8,1,봉암8
16.0,15.0,5.8,1,봉암8
19.0,8.0,5.8,1,봉암8
19.0,13.0,5.8,1,봉암8
13.0,10.0,5.8,1,봉암9
14.0,9.0,5.8,1,봉암9
14.0,12.0,5.8,1,봉암9
17.0,5.0,5.8,1,봉암9
18.0,9.0,5.8,1,봉암9
19.0,8.0,5.8,1,봉암9
20.0,9.0,5.8,1,봉암9
20.0,13.0,5.8,1,봉암9
11.0,6.0,1000.0,1,신한내
16.0,11.0,1000.0,1,신한내
21.0,11.0,1000.0,1,신한내
21.0,12.0,1000.0,1,신한내
23.0,8.0,1000.0,1,신한내
24.0,6.0,1000.0,1,신한내
24.0,19.0,1000.0,1,신한내
22.0,13.0,1000.0,1,오비
10.0,5.0,1000.0,1,한내
10.0,8.0,1000.0,1,한내
13.0,11.0,1000.0,1,한내
17.0,7.0,1000.0,1,한내
17.0,11.0,1000.0,1,한내
17.0,13.0,1000.0,1,한내
18.0,12.0,1000.0,1,한내
19.0,12.0,1000.0,1,한내
20.0,9.0,1000.0,1,한내
20.0,11.0,1000.0,1,한내
