vessel_id,block,length,width,height,weight
SN2596,Y390S,11.0,0.0,0.0,3.0
,,23.0,14.9,5.8,1000.0
,,23.0,14.9,5.8,1000.0
,,23.0,14.9,5.8,1000.0
,,23.0,14.9,5.8,1000.0
,,23.0,14.9,5.8,1000.0
,,23.0,14.9,5.8,1000.0
