vessel_id,block,length,width,height,location,id
 SN2611, D310P,25.0,23.0,inf,신한내,0
 SN2603, B110P,25.0,23.0,inf,신한내,1
 SN2615, S08BP,25.0,23.0,inf,신한내,2
 SN2611, D381S,25.0,23.0,inf,신한내,3
 SN2603, D341S,25.0,23.0,inf,신한내,4
 SN2454, W831C,25.0,23.0,inf,신한내,5
 SN2455, F640P,25.0,23.0,inf,신한내,6
 SN2614, E661C,25.0,23.0,inf,신한내,7
 SN2601, T720S,25.0,23.0,inf,신한내,8
 SN2601, E150C,25.0,23.0,inf,신한내,9
 SN2607, A211P,25.0,23.0,inf,신한내,10
 SN2601, E410S,25.0,23.0,inf,신한내,11
 SN2611, D171P,25.0,23.0,inf,신한내,12
 SN2604, G140S,25.0,23.0,inf,신한내,13
 SN2603, B201S,25.0,23.0,inf,신한내,14
 SN2455, M900P,25.0,23.0,inf,신한내,15
 SN2615, M510S,25.0,23.0,inf,신한내,16
 SN2612, E322S,25.0,23.0,inf,신한내,17
 SN2601, S110P,25.0,23.0,inf,신한내,18
 SN2607, S13AP,25.0,23.0,inf,신한내,19
 SN2611, T351S,25.0,23.0,inf,신한내,20
 SN2456, E242C,25.0,23.0,inf,신한내,21
 SN2611, D411S,25.0,23.0,inf,신한내,22
 SN2611, T350P,25.0,23.0,inf,신한내,23
 SN2456, E310S,25.0,23.0,inf,신한내,24
 SN2598, B110S,25.0,23.0,inf,신한내,25
 SN2591, E130C,25.0,23.0,inf,신한내,26
 SN2590, F730S,25.0,23.0,inf,신한내,27
 SN2602, D120C,25.0,23.0,inf,신한내,28
,,25.0,23.0,inf,신한내,29
,,25.0,23.0,inf,신한내,30
,,25.0,23.0,inf,신한내,31
,,25.0,23.0,inf,신한내,32
,,25.0,23.0,inf,신한내,33
,,25.0,23.0,inf,신한내,34
,,25.0,23.0,inf,신한내,35
,,25.0,23.0,inf,신한내,36
,,25.0,23.0,inf,신한내,37
,,25.0,23.0,inf,신한내,38
,,25.0,23.0,inf,신한내,39
,,25.0,23.0,inf,신한내,40
