vessel_id,block,length,width,height,location,id
 SN2613, D370C,25.0,14.0,inf,한내,0
 SN2611, D340P,25.0,14.0,inf,한내,1
 SN2611, D540S,25.0,14.0,inf,한내,2
 SN2591, B170P,25.0,14.0,inf,한내,3
 SN2463, H11AP,25.0,14.0,inf,한내,4
 SN2603, F421P,25.0,14.0,inf,한내,5
 SN2589, T15NP,25.0,14.0,inf,한내,6
 SN2614, F421S,25.0,14.0,inf,한내,7
 SN2611, D411P,25.0,14.0,inf,한내,8
 SN2456, E231P,25.0,14.0,inf,한내,9
 SN2614, F520S,25.0,14.0,inf,한내,10
 SN2591, E353C,25.0,14.0,inf,한내,11
 SN2457, E451C,25.0,14.0,inf,한내,12
 SN2627, E640S,25.0,14.0,inf,한내,13
 SN2463, D29BP,25.0,14.0,inf,한내,14
 SN2463, A21FS,25.0,14.0,inf,한내,15
 SN2608, E114S,25.0,14.0,inf,한내,16
 SN2611, D620S,25.0,14.0,inf,한내,17
 SN2603, F331S,25.0,14.0,inf,한내,18
 SN2597, F310S,25.0,14.0,inf,한내,19
 SN2616, E42AS,25.0,14.0,inf,한내,20
 SN2626, E550C,25.0,14.0,inf,한내,21
 SN2463, E423P,25.0,14.0,inf,한내,22
 SN2607, E311S,25.0,14.0,inf,한내,23
 SN2590, E640C,25.0,14.0,inf,한내,24
 SN2457, E511P,25.0,14.0,inf,한내,25
 SN2602, F310S,25.0,14.0,inf,한내,26
 SN2627, S093S,25.0,14.0,inf,한내,27
 SN2463, A21ES,25.0,14.0,inf,한내,28
 SN2627, H120S,25.0,14.0,inf,한내,29
 SN2612, A110S,25.0,14.0,inf,한내,30
 SN2607, E210S,25.0,14.0,inf,한내,31
 SN2598, A110P,25.0,14.0,inf,한내,32
 SN2602, D710S,25.0,14.0,inf,한내,33
 SN2456, E512S,25.0,14.0,inf,한내,34
 SN2591, D350S,25.0,14.0,inf,한내,35
 SN2615, D180C,25.0,14.0,inf,한내,36
 SN2457, E413P,25.0,14.0,inf,한내,37
 SN2457, A313P,25.0,14.0,inf,한내,38
 SN2604, G140S,25.0,14.0,inf,한내,39
 SN2611, H110P,25.0,14.0,inf,한내,40
 SN2453, S630S,25.0,14.0,inf,한내,41
 SN2590, M920P,25.0,14.0,inf,한내,42
 SN2601, A110S,25.0,14.0,inf,한내,43
 SN2615, S08BS,25.0,14.0,inf,한내,44
 SN2616, E33YS,25.0,14.0,inf,한내,45
 SN2603, D500S,25.0,14.0,inf,한내,46
 SN2615, D350S,25.0,14.0,inf,한내,47
 SN2608, E116P,25.0,14.0,inf,한내,48
,,25.0,14.0,inf,한내,49
,,25.0,14.0,inf,한내,50
,,25.0,14.0,inf,한내,51
,,25.0,14.0,inf,한내,52
,,25.0,14.0,inf,한내,53
,,25.0,14.0,inf,한내,54
,,25.0,14.0,inf,한내,55
,,25.0,14.0,inf,한내,56
,,25.0,14.0,inf,한내,57
,,25.0,14.0,inf,한내,58
,,25.0,14.0,inf,한내,59
,,25.0,14.0,inf,한내,60
,,25.0,14.0,inf,한내,61
,,25.0,14.0,inf,한내,62
,,25.0,14.0,inf,한내,63
,,25.0,14.0,inf,한내,64
,,25.0,14.0,inf,한내,65
,,25.0,14.0,inf,한내,66
,,25.0,14.0,inf,한내,67
,,25.0,14.0,inf,한내,68
