vessel_id,block,length,width,height,location,id
 SN2615, S08BP,25.0,22.0,inf,성동,0
 SN2611, S160S,25.0,22.0,inf,성동,1
 SN2455, E510P,25.0,22.0,inf,성동,2
 SN2627, H120S,25.0,22.0,inf,성동,3
 SN2611, E510P,25.0,22.0,inf,성동,4
 SN2455, C390P,25.0,22.0,inf,성동,5
 SN2602, D171P,25.0,22.0,inf,성동,6
 SN2614, E520P,25.0,22.0,inf,성동,7
 SN2597, D530S,25.0,22.0,inf,성동,8
 SN2601, S131S,25.0,22.0,inf,성동,9
 SN2607, E232P,25.0,22.0,inf,성동,10
 SN2601, D341S,25.0,22.0,inf,성동,11
 SN2603, F312S,25.0,22.0,inf,성동,12
 SN2612, E321P,25.0,22.0,inf,성동,13
 SN2611, D770S,25.0,22.0,inf,성동,14
 SN2455, M320S,25.0,22.0,inf,성동,15
 SN2453, C720P,25.0,22.0,inf,성동,16
 SN2611, E420P,25.0,22.0,inf,성동,17
 SN2602, D410S,25.0,22.0,inf,성동,18
 SN2611, T120S,25.0,22.0,inf,성동,19
 SN2603, E310P,25.0,22.0,inf,성동,20
 SN2603, F421P,25.0,22.0,inf,성동,21
 SN2627, D180S,25.0,22.0,inf,성동,22
 SN2612, E521S,25.0,22.0,inf,성동,23
 SN2601, D311P,25.0,22.0,inf,성동,24
 SN2615, C360S,25.0,22.0,inf,성동,25
 SN2597, M120P,25.0,22.0,inf,성동,26
 SN2590, F210C,25.0,22.0,inf,성동,27
 SN2603, F423S,25.0,22.0,inf,성동,28
 SN2603, E520S,25.0,22.0,inf,성동,29
 SN2615, L150P,25.0,22.0,inf,성동,30
 SN2597, F310P,25.0,22.0,inf,성동,31
 SN2603, E440C,25.0,22.0,inf,성동,32
 SN2457, B131P,25.0,22.0,inf,성동,33
 SN2616, E43AP,25.0,22.0,inf,성동,34
 SN2607, E261C,25.0,22.0,inf,성동,35
 SN2615, E61AP,25.0,22.0,inf,성동,36
 SN2611, D540S,25.0,22.0,inf,성동,37
 SN2627, S090S,25.0,22.0,inf,성동,38
 SN2602, D380S,25.0,22.0,inf,성동,39
 SN2597, T350S,25.0,22.0,inf,성동,40
 SN2611, S110P,25.0,22.0,inf,성동,41
 SN2601, M510S,25.0,22.0,inf,성동,42
 SN2607, S11AS,25.0,22.0,inf,성동,43
 SN2456, E241P,25.0,22.0,inf,성동,44
 SN2611, E430C,25.0,22.0,inf,성동,45
 SN2457, B19AS,25.0,22.0,inf,성동,46
 SN2598, T720P,25.0,22.0,inf,성동,47
 SN2603, H140S,25.0,22.0,inf,성동,48
 SN2614, A420S,25.0,22.0,inf,성동,49
 SN2456, H121P,25.0,22.0,inf,성동,50
 SN2603, H120P,25.0,22.0,inf,성동,51
 SN2601, E350C,25.0,22.0,inf,성동,52
 SN2612, B181S,25.0,22.0,inf,성동,53
 SN2603, H140P,25.0,22.0,inf,성동,54
 SN2607, E320P,25.0,22.0,inf,성동,55
 SN2455, E580S,25.0,22.0,inf,성동,56
 SN2603, E380C,25.0,22.0,inf,성동,57
,,25.0,22.0,inf,성동,58
,,25.0,22.0,inf,성동,59
,,25.0,22.0,inf,성동,60
,,25.0,22.0,inf,성동,61
,,25.0,22.0,inf,성동,62
,,25.0,22.0,inf,성동,63
,,25.0,22.0,inf,성동,64
,,25.0,22.0,inf,성동,65
,,25.0,22.0,inf,성동,66
,,25.0,22.0,inf,성동,67
,,25.0,22.0,inf,성동,68
,,25.0,22.0,inf,성동,69
,,25.0,22.0,inf,성동,70
,,25.0,22.0,inf,성동,71
,,25.0,22.0,inf,성동,72
,,25.0,22.0,inf,성동,73
,,25.0,22.0,inf,성동,74
,,25.0,22.0,inf,성동,75
,,25.0,22.0,inf,성동,76
,,25.0,22.0,inf,성동,77
,,25.0,22.0,inf,성동,78
,,25.0,22.0,inf,성동,79
,,25.0,22.0,inf,성동,80
,,25.0,22.0,inf,성동,81
,,25.0,22.0,inf,성동,82
,,25.0,22.0,inf,성동,83
