vessel_id,block,length,width,height,location,id
 SN2611, D330P,25.0,23.0,inf,신한내,0
 SN2591, S350P,25.0,23.0,inf,신한내,1
 SN2603, D820S,25.0,23.0,inf,신한내,2
 SN2452, E710P,25.0,23.0,inf,신한내,3
 SN2591, D160P,25.0,23.0,inf,신한내,4
 SN2614, S380P,25.0,23.0,inf,신한내,5
 SN2612, B151S,25.0,23.0,inf,신한내,6
 SN2455, S230S,25.0,23.0,inf,신한내,7
 SN2598, B120P,25.0,23.0,inf,신한내,8
 SN2463, A21AS,25.0,23.0,inf,신한내,9
 SN2611, D320P,25.0,23.0,inf,신한내,10
 SN2598, E230P,25.0,23.0,inf,신한내,11
 SN2602, D410S,25.0,23.0,inf,신한내,12
 SN2456, A12CP,25.0,23.0,inf,신한내,13
 SN2611, B130P,25.0,23.0,inf,신한내,14
 SN2607, A110P,25.0,23.0,inf,신한내,15
 SN2603, H140P,25.0,23.0,inf,신한내,16
 SN2601, E380C,25.0,23.0,inf,신한내,17
 SN2613, D370C,25.0,23.0,inf,신한내,18
 SN2615, E52AS,25.0,23.0,inf,신한내,19
 SN2590, H200S,25.0,23.0,inf,신한내,20
 SN2602, D620S,25.0,23.0,inf,신한내,21
 SN2608, E22AS,25.0,23.0,inf,신한내,22
 SN2615, S161P,25.0,23.0,inf,신한내,23
 SN2612, E511S,25.0,23.0,inf,신한내,24
 SN2615, E410P,25.0,23.0,inf,신한내,25
 SN2604, D730S,25.0,23.0,inf,신한내,26
 SN2598, T110S,25.0,23.0,inf,신한내,27
 SN2602, F420P,25.0,23.0,inf,신한내,28
 SN2611, D191P,25.0,23.0,inf,신한내,29
 SN2597, F420S,25.0,23.0,inf,신한내,30
,,25.0,23.0,inf,신한내,31
,,25.0,23.0,inf,신한내,32
,,25.0,23.0,inf,신한내,33
,,25.0,23.0,inf,신한내,34
,,25.0,23.0,inf,신한내,35
,,25.0,23.0,inf,신한내,36
,,25.0,23.0,inf,신한내,37
,,25.0,23.0,inf,신한내,38
,,25.0,23.0,inf,신한내,39
,,25.0,23.0,inf,신한내,40
