vessel_id,block,length,width,height,location,id
 SN2607, M120P,25.0,14.0,inf,한내,0
 SN2614, A430C,25.0,14.0,inf,한내,1
 SN2590, F730P,25.0,14.0,inf,한내,2
 SN2607, M110S,25.0,14.0,inf,한내,3
 SN2456, A12CP,25.0,14.0,inf,한내,4
 SN2456, A12DS,25.0,14.0,inf,한내,5
 SN2601, D41AS,25.0,14.0,inf,한내,6
 SN2603, F422S,25.0,14.0,inf,한내,7
 SN2591, B170S,25.0,14.0,inf,한내,8
 SN2602, F210P,25.0,14.0,inf,한내,9
 SN2615, E513S,25.0,14.0,inf,한내,10
 SN2455, F630C,25.0,14.0,inf,한내,11
 SN2612, A110S,25.0,14.0,inf,한내,12
 SN2611, D820S,25.0,14.0,inf,한내,13
 SN2615, E330P,25.0,14.0,inf,한내,14
 SN2463, D29BP,25.0,14.0,inf,한내,15
 SN2612, E512P,25.0,14.0,inf,한내,16
 SN2457, H14AS,25.0,14.0,inf,한내,17
 SN2615, D180C,25.0,14.0,inf,한내,18
 SN2602, D370P,25.0,14.0,inf,한내,19
 SN2455, W820P,25.0,14.0,inf,한내,20
 SN2612, S18BS,25.0,14.0,inf,한내,21
 SN2456, H121P,25.0,14.0,inf,한내,22
 SN2597, G140S,25.0,14.0,inf,한내,23
 SN2614, S180S,25.0,14.0,inf,한내,24
 SN2611, D530S,25.0,14.0,inf,한내,25
 SN2612, E31AP,25.0,14.0,inf,한내,26
 SN2597, Y540P,25.0,14.0,inf,한내,27
 SN2627, E640S,25.0,14.0,inf,한내,28
 SN2627, D380P,25.0,14.0,inf,한내,29
 SN2615, M410S,25.0,14.0,inf,한내,30
 SN2611, F110S,25.0,14.0,inf,한내,31
 SN2603, F131S,25.0,14.0,inf,한내,32
 SN2611, D131S,25.0,14.0,inf,한내,33
 SN2590, A420P,25.0,14.0,inf,한내,34
 SN2455, E580S,25.0,14.0,inf,한내,35
 SN2596, G140S,25.0,14.0,inf,한내,36
 SN2591, S350P,25.0,14.0,inf,한내,37
 SN2627, S101S,25.0,14.0,inf,한내,38
 SN2611, M110P,25.0,14.0,inf,한내,39
 SN2456, E210P,25.0,14.0,inf,한내,40
 SN2596, Y540P,25.0,14.0,inf,한내,41
 SN2607, S11AP,25.0,14.0,inf,한내,42
 SN2607, E232P,25.0,14.0,inf,한내,43
 SN2457, E110P,25.0,14.0,inf,한내,44
 SN2590, H200P,25.0,14.0,inf,한내,45
 SN2591, D350S,25.0,14.0,inf,한내,46
 SN2452, S230P,25.0,14.0,inf,한내,47
 SN2603, D730S,25.0,14.0,inf,한내,48
 SN2614, E510S,25.0,14.0,inf,한내,49
 SN2456, A12CS,25.0,14.0,inf,한내,50
 SN2596, Y900P,25.0,14.0,inf,한내,51
 SN2611, E380C,25.0,14.0,inf,한내,52
 SN2608, E115P,25.0,14.0,inf,한내,53
 SN2603, D640S,25.0,14.0,inf,한내,54
,,25.0,14.0,inf,한내,55
,,25.0,14.0,inf,한내,56
,,25.0,14.0,inf,한내,57
,,25.0,14.0,inf,한내,58
,,25.0,14.0,inf,한내,59
,,25.0,14.0,inf,한내,60
,,25.0,14.0,inf,한내,61
,,25.0,14.0,inf,한내,62
,,25.0,14.0,inf,한내,63
,,25.0,14.0,inf,한내,64
,,25.0,14.0,inf,한내,65
,,25.0,14.0,inf,한내,66
,,25.0,14.0,inf,한내,67
,,25.0,14.0,inf,한내,68
