vessel_id,block,length,width,height,location,id
 SN2456, A12DS,21.0,15.5,5.8,봉암9,0
 SN2590, E650C,21.0,15.5,5.8,봉암9,1
 SN2591, E332S,21.0,15.5,5.8,봉암9,2
 SN2627, S100P,21.0,15.5,5.8,봉암9,3
 SN2597, Y730C,21.0,15.5,5.8,봉암9,4
 SN2614, S720P,21.0,15.5,5.8,봉암9,5
 SN2614, F722S,21.0,15.5,5.8,봉암9,6
 SN2463, E220P,21.0,15.5,5.8,봉암9,7
 SN2614, E650C,21.0,15.5,5.8,봉암9,8
 SN2463, E62XP,21.0,15.5,5.8,봉암9,9
 SN2611, F521S,21.0,15.5,5.8,봉암9,10
 SN2627, S101S,21.0,15.5,5.8,봉암9,11
 SN2455, M410S,21.0,15.5,5.8,봉암9,12
 SN2603, D360S,21.0,15.5,5.8,봉암9,13
 SN2615, F32CC,21.0,15.5,5.8,봉암9,14
 SN2590, A420S,21.0,15.5,5.8,봉암9,15
 SN2614, S820S,21.0,15.5,5.8,봉암9,16
 SN2614, E470C,21.0,15.5,5.8,봉암9,17
 SN2603, D171S,21.0,15.5,5.8,봉암9,18
 SN2603, T151C,21.0,15.5,5.8,봉암9,19
 SN2598, D711S,21.0,15.5,5.8,봉암9,20
 SN2602, D410P,21.0,15.5,5.8,봉암9,21
 SN2602, G510P,21.0,15.5,5.8,봉암9,22
 SN2453, H200S,21.0,15.5,5.8,봉암9,23
 SN2598, D331S,21.0,15.5,5.8,봉암9,24
 SN2602, F210S,21.0,15.5,5.8,봉암9,25
 SN2616, E33BS,21.0,15.5,5.8,봉암9,26
 SN2455, C390S,21.0,15.5,5.8,봉암9,27
 SN2615, E460C,21.0,15.5,5.8,봉암9,28
 SN2616, S36XP,21.0,15.5,5.8,봉암9,29
 SN2608, E22AP,21.0,15.5,5.8,봉암9,30
 SN2611, F311S,21.0,15.5,5.8,봉암9,31
 SN2603, D640S,21.0,15.5,5.8,봉암9,32
 SN2603, D371P,21.0,15.5,5.8,봉암9,33
 SN2611, E230P,21.0,15.5,5.8,봉암9,34
 SN2456, D191S,21.0,15.5,5.8,봉암9,35
 SN2614, Y900C,21.0,15.5,5.8,봉암9,36
 SN2614, F622P,21.0,15.5,5.8,봉암9,37
 SN2615, E340C,21.0,15.5,5.8,봉암9,38
 SN2603, D381P,21.0,15.5,5.8,봉암9,39
 SN2456, D391S,21.0,15.5,5.8,봉암9,40
 SN2453, M940S,21.0,15.5,5.8,봉암9,41
 SN2616, E322S,21.0,15.5,5.8,봉암9,42
 SN2591, S341S,21.0,15.5,5.8,봉암9,43
,,21.0,15.5,5.8,봉암9,44
,,21.0,15.5,5.8,봉암9,45
,,21.0,15.5,5.8,봉암9,46
,,21.0,15.5,5.8,봉암9,47
,,21.0,15.5,5.8,봉암9,48
,,21.0,15.5,5.8,봉암9,49
