vessel_id,block,length,width,height,location,id
 SN2608, E32AP,21.0,15.5,5.8,봉암8,0
 SN2601, D713S,21.0,15.5,5.8,봉암8,1
 SN2614, D561C,21.0,15.5,5.8,봉암8,2
 SN2611, D201P,21.0,15.5,5.8,봉암8,3
 SN2608, E22AS,21.0,15.5,5.8,봉암8,4
 SN2591, H160P,21.0,15.5,5.8,봉암8,5
 SN2602, D410S,21.0,15.5,5.8,봉암8,6
 SN2615, E370P,21.0,15.5,5.8,봉암8,7
 SN2598, E380C,21.0,15.5,5.8,봉암8,8
 SN2607, E523S,21.0,15.5,5.8,봉암8,9
 SN2627, S093P,21.0,15.5,5.8,봉암8,10
 SN2597, D181S,21.0,15.5,5.8,봉암8,11
 SN2603, F312P,21.0,15.5,5.8,봉암8,12
 SN2603, T151C,21.0,15.5,5.8,봉암8,13
 SN2611, D141P,21.0,15.5,5.8,봉암8,14
 SN2603, T150C,21.0,15.5,5.8,봉암8,15
 SN2614, S380S,21.0,15.5,5.8,봉암8,16
 SN2599, E11ES,21.0,15.5,5.8,봉암8,17
 SN2597, F210S,21.0,15.5,5.8,봉암8,18
 SN2611, F521S,21.0,15.5,5.8,봉암8,19
 SN2601, E310S,21.0,15.5,5.8,봉암8,20
 SN2602, G130S,21.0,15.5,5.8,봉암8,21
 SN2616, E421P,21.0,15.5,5.8,봉암8,22
 SN2463, E312P,21.0,15.5,5.8,봉암8,23
 SN2603, T310S,21.0,15.5,5.8,봉암8,24
 SN2463, A21BS,21.0,15.5,5.8,봉암8,25
 SN2601, D131S,21.0,15.5,5.8,봉암8,26
 SN2455, M610P,21.0,15.5,5.8,봉암8,27
 SN2615, S161P,21.0,15.5,5.8,봉암8,28
 SN2601, D41AP,21.0,15.5,5.8,봉암8,29
 SN2611, E310P,21.0,15.5,5.8,봉암8,30
 SN2456, D194P,21.0,15.5,5.8,봉암8,31
 SN2612, E31AS,21.0,15.5,5.8,봉암8,32
,,21.0,15.5,5.8,봉암8,33
,,21.0,15.5,5.8,봉암8,34
,,21.0,15.5,5.8,봉암8,35
,,21.0,15.5,5.8,봉암8,36
,,21.0,15.5,5.8,봉암8,37
,,21.0,15.5,5.8,봉암8,38
,,21.0,15.5,5.8,봉암8,39
