vessel_id,block,length,width,height,location,id
 SN2590, E520S,25.0,22.0,inf,성동,0
 SN2615, M210S,25.0,22.0,inf,성동,1
 SN2608, E115P,25.0,22.0,inf,성동,2
 SN2602, F230C,25.0,22.0,inf,성동,3
 SN2614, E520S,25.0,22.0,inf,성동,4
 SN2615, D550S,25.0,22.0,inf,성동,5
 SN2453, S390S,25.0,22.0,inf,성동,6
 SN2602, D750S,25.0,22.0,inf,성동,7
 SN2590, F300C,25.0,22.0,inf,성동,8
 SN2601, D510S,25.0,22.0,inf,성동,9
 SN2590, E550C,25.0,22.0,inf,성동,10
 SN2614, E540S,25.0,22.0,inf,성동,11
 SN2626, E620P,25.0,22.0,inf,성동,12
 SN2615, E420S,25.0,22.0,inf,성동,13
 SN2598, F522P,25.0,22.0,inf,성동,14
 SN2615, E64AC,25.0,22.0,inf,성동,15
 SN2597, D340P,25.0,22.0,inf,성동,16
 SN2456, D292P,25.0,22.0,inf,성동,17
 SN2615, M410S,25.0,22.0,inf,성동,18
 SN2607, M410S,25.0,22.0,inf,성동,19
 SN2601, T320P,25.0,22.0,inf,성동,20
 SN2603, H140P,25.0,22.0,inf,성동,21
 SN2601, T321S,25.0,22.0,inf,성동,22
 SN2455, B180P,25.0,22.0,inf,성동,23
 SN2602, E520P,25.0,22.0,inf,성동,24
 SN2601, S131S,25.0,22.0,inf,성동,25
 SN2590, A110C,25.0,22.0,inf,성동,26
 SN2455, M710S,25.0,22.0,inf,성동,27
 SN2601, B141S,25.0,22.0,inf,성동,28
 SN2590, E650C,25.0,22.0,inf,성동,29
 SN2601, E520S,25.0,22.0,inf,성동,30
 SN2601, D331S,25.0,22.0,inf,성동,31
 SN2598, B121P,25.0,22.0,inf,성동,32
 SN2457, D292S,25.0,22.0,inf,성동,33
 SN2611, T340S,25.0,22.0,inf,성동,34
 SN2599, E11CP,25.0,22.0,inf,성동,35
 SN2611, D620S,25.0,22.0,inf,성동,36
 SN2603, D340P,25.0,22.0,inf,성동,37
 SN2463, H11AS,25.0,22.0,inf,성동,38
 SN2590, A420S,25.0,22.0,inf,성동,39
 SN2634, A21AP,25.0,22.0,inf,성동,40
 SN2602, T350S,25.0,22.0,inf,성동,41
 SN2614, F631S,25.0,22.0,inf,성동,42
 SN2603, F312S,25.0,22.0,inf,성동,43
 SN2455, F420C,25.0,22.0,inf,성동,44
 SN2607, E240C,25.0,22.0,inf,성동,45
 SN2602, D120C,25.0,22.0,inf,성동,46
 SN2612, S16AP,25.0,22.0,inf,성동,47
 SN2603, D181S,25.0,22.0,inf,성동,48
 SN2614, E440P,25.0,22.0,inf,성동,49
 SN2611, K180C,25.0,22.0,inf,성동,50
 SN2603, T320P,25.0,22.0,inf,성동,51
 SN2614, F631P,25.0,22.0,inf,성동,52
 SN2614, A110C,25.0,22.0,inf,성동,53
 SN2611, G130S,25.0,22.0,inf,성동,54
 SN2614, F332P,25.0,22.0,inf,성동,55
 SN2614, E510S,25.0,22.0,inf,성동,56
 SN2456, D194S,25.0,22.0,inf,성동,57
 SN2603, D710S,25.0,22.0,inf,성동,58
,,25.0,22.0,inf,성동,59
,,25.0,22.0,inf,성동,60
,,25.0,22.0,inf,성동,61
,,25.0,22.0,inf,성동,62
,,25.0,22.0,inf,성동,63
,,25.0,22.0,inf,성동,64
,,25.0,22.0,inf,성동,65
,,25.0,22.0,inf,성동,66
,,25.0,22.0,inf,성동,67
,,25.0,22.0,inf,성동,68
,,25.0,22.0,inf,성동,69
,,25.0,22.0,inf,성동,70
,,25.0,22.0,inf,성동,71
,,25.0,22.0,inf,성동,72
,,25.0,22.0,inf,성동,73
,,25.0,22.0,inf,성동,74
,,25.0,22.0,inf,성동,75
,,25.0,22.0,inf,성동,76
,,25.0,22.0,inf,성동,77
,,25.0,22.0,inf,성동,78
,,25.0,22.0,inf,성동,79
,,25.0,22.0,inf,성동,80
,,25.0,22.0,inf,성동,81
,,25.0,22.0,inf,성동,82
,,25.0,22.0,inf,성동,83
