vessel_id,block,length,width,height,location,id
 SN2598, E150C,25.0,16.0,inf,OFD,0
 SN2591, D150S,25.0,16.0,inf,OFD,1
 SN2454, C820S,25.0,16.0,inf,OFD,2
 SN2604, Y900S,25.0,16.0,inf,OFD,3
 SN2598, E370C,25.0,16.0,inf,OFD,4
 SN2611, T120S,25.0,16.0,inf,OFD,5
 SN2601, T110P,25.0,16.0,inf,OFD,6
 SN2452, E710P,25.0,16.0,inf,OFD,7
 SN2591, D350P,25.0,16.0,inf,OFD,8
 SN2598, E310P,25.0,16.0,inf,OFD,9
 SN2599, E11ES,25.0,16.0,inf,OFD,10
 SN2601, M220P,25.0,16.0,inf,OFD,11
 SN2611, D310S,25.0,16.0,inf,OFD,12
 SN2598, D522S,25.0,16.0,inf,OFD,13
 SN2601, D510S,25.0,16.0,inf,OFD,14
 SN2599, E11BP,25.0,16.0,inf,OFD,15
,,25.0,16.0,inf,OFD,16
,,25.0,16.0,inf,OFD,17
,,25.0,16.0,inf,OFD,18
,,25.0,16.0,inf,OFD,19
