vessel_id,block,length,width,height,location,id
 SN2601, S131P,25.0,22.0,inf,성동,0
 SN2590, E550C,25.0,22.0,inf,성동,1
 SN2590, F300C,25.0,22.0,inf,성동,2
 SN2598, H140S,25.0,22.0,inf,성동,3
 SN2457, E413P,25.0,22.0,inf,성동,4
 SN2597, F420P,25.0,22.0,inf,성동,5
 SN2597, F310P,25.0,22.0,inf,성동,6
 SN2627, D180S,25.0,22.0,inf,성동,7
 SN2603, H110S,25.0,22.0,inf,성동,8
 SN2614, F631P,25.0,22.0,inf,성동,9
 SN2603, D330S,25.0,22.0,inf,성동,10
 SN2612, M510P,25.0,22.0,inf,성동,11
 SN2598, A110S,25.0,22.0,inf,성동,12
 SN2611, E260C,25.0,22.0,inf,성동,13
 SN2598, B120P,25.0,22.0,inf,성동,14
 SN2611, D310P,25.0,22.0,inf,성동,15
 SN2598, S111P,25.0,22.0,inf,성동,16
 SN2601, D131S,25.0,22.0,inf,성동,17
 SN2591, E44XS,25.0,22.0,inf,성동,18
 SN2627, E510P,25.0,22.0,inf,성동,19
 SN2597, D380P,25.0,22.0,inf,성동,20
 SN2601, M310S,25.0,22.0,inf,성동,21
 SN2598, D712S,25.0,22.0,inf,성동,22
 SN2611, D640S,25.0,22.0,inf,성동,23
 SN2602, D140C,25.0,22.0,inf,성동,24
 SN2602, D710S,25.0,22.0,inf,성동,25
 SN2611, T351S,25.0,22.0,inf,성동,26
 SN2601, E380C,25.0,22.0,inf,성동,27
 SN2615, F32CC,25.0,22.0,inf,성동,28
 SN2602, D130C,25.0,22.0,inf,성동,29
 SN2598, B121P,25.0,22.0,inf,성동,30
 SN2611, B200S,25.0,22.0,inf,성동,31
 SN2626, E620P,25.0,22.0,inf,성동,32
 SN2601, D35AP,25.0,22.0,inf,성동,33
 SN2616, E33AS,25.0,22.0,inf,성동,34
 SN2603, B110S,25.0,22.0,inf,성동,35
 SN2457, E210P,25.0,22.0,inf,성동,36
 SN2454, F310S,25.0,22.0,inf,성동,37
 SN2590, F730S,25.0,22.0,inf,성동,38
 SN2614, S400S,25.0,22.0,inf,성동,39
 SN2597, T350S,25.0,22.0,inf,성동,40
 SN2456, A12DP,25.0,22.0,inf,성동,41
 SN2615, S180S,25.0,22.0,inf,성동,42
 SN2598, M410P,25.0,22.0,inf,성동,43
 SN2603, E510P,25.0,22.0,inf,성동,44
 SN2598, D331P,25.0,22.0,inf,성동,45
 SN2598, F421P,25.0,22.0,inf,성동,46
 SN2458, S16AP,25.0,22.0,inf,성동,47
 SN2598, D37AP,25.0,22.0,inf,성동,48
 SN2454, F310P,25.0,22.0,inf,성동,49
 SN2455, A120C,25.0,22.0,inf,성동,50
 SN2615, E130C,25.0,22.0,inf,성동,51
 SN2601, D35AS,25.0,22.0,inf,성동,52
 SN2611, D181P,25.0,22.0,inf,성동,53
 SN2601, S122S,25.0,22.0,inf,성동,54
 SN2603, D630S,25.0,22.0,inf,성동,55
 SN2603, D211P,25.0,22.0,inf,성동,56
 SN2615, M310P,25.0,22.0,inf,성동,57
 SN2601, B202P,25.0,22.0,inf,성동,58
 SN2607, M220S,25.0,22.0,inf,성동,59
 SN2455, C400S,25.0,22.0,inf,성동,60
 SN2611, D330P,25.0,22.0,inf,성동,61
 SN2603, D131P,25.0,22.0,inf,성동,62
 SN2607, M220P,25.0,22.0,inf,성동,63
 SN2611, F110P,25.0,22.0,inf,성동,64
,,25.0,22.0,inf,성동,65
,,25.0,22.0,inf,성동,66
,,25.0,22.0,inf,성동,67
,,25.0,22.0,inf,성동,68
,,25.0,22.0,inf,성동,69
,,25.0,22.0,inf,성동,70
,,25.0,22.0,inf,성동,71
,,25.0,22.0,inf,성동,72
,,25.0,22.0,inf,성동,73
,,25.0,22.0,inf,성동,74
,,25.0,22.0,inf,성동,75
,,25.0,22.0,inf,성동,76
,,25.0,22.0,inf,성동,77
,,25.0,22.0,inf,성동,78
,,25.0,22.0,inf,성동,79
,,25.0,22.0,inf,성동,80
,,25.0,22.0,inf,성동,81
,,25.0,22.0,inf,성동,82
,,25.0,22.0,inf,성동,83
