vessel_id,block,length,width,height,location,id
 SN2602, E520S,23.0,16.0,inf,덕곡1,0
 SN2603, F421S,23.0,16.0,inf,덕곡1,1
 SN2601, T110S,23.0,16.0,inf,덕곡1,2
 SN2608, E113P,23.0,16.0,inf,덕곡1,3
 SN2591, E44XS,23.0,16.0,inf,덕곡1,4
 SN2615, A421S,23.0,16.0,inf,덕곡1,5
 SN2616, E312S,23.0,16.0,inf,덕곡1,6
,,23.0,16.0,inf,덕곡1,7
,,23.0,16.0,inf,덕곡1,8
,,23.0,16.0,inf,덕곡1,9
 SN2598, T310P,24.0,19.0,inf,덕곡1,10
 SN2607, E110P,24.0,19.0,inf,덕곡1,11
 SN2611, D130C,24.0,19.0,inf,덕곡1,12
 SN2601, S121S,24.0,19.0,inf,덕곡1,13
 SN2612, M610C,24.0,19.0,inf,덕곡1,14
 SN2603, E420P,24.0,19.0,inf,덕곡1,15
,,24.0,19.0,inf,덕곡1,16
,,24.0,19.0,inf,덕곡1,17
,,24.0,19.0,inf,덕곡1,18
 SN2457, B131P,25.0,23.0,inf,덕곡1,19
 SN2597, D210C,25.0,23.0,inf,덕곡1,20
 SN2603, D110C,25.0,23.0,inf,덕곡1,21
 SN2596, D720S,25.0,23.0,inf,덕곡1,22
 SN2611, S170P,25.0,23.0,inf,덕곡1,23
 SN2611, S120S,25.0,23.0,inf,덕곡1,24
 SN2602, D140C,25.0,23.0,inf,덕곡1,25
 SN2597, D720S,25.0,23.0,inf,덕곡1,26
,,25.0,23.0,inf,덕곡1,27
,,25.0,23.0,inf,덕곡1,28
