vessel_id,block,length,width,height,location,id
 SN2615, E370P,25.0,14.0,inf,한내,0
 SN2607, E210S,25.0,14.0,inf,한내,1
 SN2615, E64AC,25.0,14.0,inf,한내,2
 SN2452, E710P,25.0,14.0,inf,한내,3
 SN2598, T720P,25.0,14.0,inf,한내,4
 SN2612, S11AP,25.0,14.0,inf,한내,5
 SN2626, E560C,25.0,14.0,inf,한내,6
 SN2601, S122P,25.0,14.0,inf,한내,7
 SN2603, D510S,25.0,14.0,inf,한내,8
 SN2627, E410S,25.0,14.0,inf,한내,9
 SN2598, A110P,25.0,14.0,inf,한내,10
 SN2607, E521S,25.0,14.0,inf,한내,11
 SN2614, S080S,25.0,14.0,inf,한내,12
 SN2611, D620S,25.0,14.0,inf,한내,13
 SN2603, D201S,25.0,14.0,inf,한내,14
 SN2456, E511P,25.0,14.0,inf,한내,15
 SN2456, D193P,25.0,14.0,inf,한내,16
 SN2611, F521P,25.0,14.0,inf,한내,17
 SN2627, A110C,25.0,14.0,inf,한내,18
 SN2597, F310P,25.0,14.0,inf,한내,19
 SN2463, E423P,25.0,14.0,inf,한내,20
 SN2598, D713S,25.0,14.0,inf,한내,21
 SN2591, S141P,25.0,14.0,inf,한내,22
 SN2614, E510S,25.0,14.0,inf,한내,23
 SN2611, D161S,25.0,14.0,inf,한내,24
 SN2601, D520S,25.0,14.0,inf,한내,25
 SN2602, D620S,25.0,14.0,inf,한내,26
 SN2598, D37AS,25.0,14.0,inf,한내,27
 SN2603, B201P,25.0,14.0,inf,한내,28
 SN2455, M900P,25.0,14.0,inf,한내,29
 SN2454, F120C,25.0,14.0,inf,한내,30
 SN2597, D191S,25.0,14.0,inf,한내,31
 SN2603, D131P,25.0,14.0,inf,한내,32
 SN2452, C720S,25.0,14.0,inf,한내,33
 SN2607, D620S,25.0,14.0,inf,한내,34
 SN2598, S113P,25.0,14.0,inf,한내,35
 SN2607, E522P,25.0,14.0,inf,한내,36
 SN2454, F320C,25.0,14.0,inf,한내,37
 SN2457, A312P,25.0,14.0,inf,한내,38
 SN2601, D111S,25.0,14.0,inf,한내,39
 SN2598, F522S,25.0,14.0,inf,한내,40
 SN2597, F310S,25.0,14.0,inf,한내,41
 SN2603, F121P,25.0,14.0,inf,한내,42
 SN2453, E670C,25.0,14.0,inf,한내,43
 SN2603, T520P,25.0,14.0,inf,한내,44
 SN2615, S141P,25.0,14.0,inf,한내,45
 SN2601, S122S,25.0,14.0,inf,한내,46
 SN2616, E322P,25.0,14.0,inf,한내,47
 SN2463, E321P,25.0,14.0,inf,한내,48
 SN2607, E522S,25.0,14.0,inf,한내,49
,,25.0,14.0,inf,한내,50
,,25.0,14.0,inf,한내,51
,,25.0,14.0,inf,한내,52
,,25.0,14.0,inf,한내,53
,,25.0,14.0,inf,한내,54
,,25.0,14.0,inf,한내,55
,,25.0,14.0,inf,한내,56
,,25.0,14.0,inf,한내,57
,,25.0,14.0,inf,한내,58
,,25.0,14.0,inf,한내,59
,,25.0,14.0,inf,한내,60
,,25.0,14.0,inf,한내,61
,,25.0,14.0,inf,한내,62
,,25.0,14.0,inf,한내,63
,,25.0,14.0,inf,한내,64
,,25.0,14.0,inf,한내,65
,,25.0,14.0,inf,한내,66
,,25.0,14.0,inf,한내,67
,,25.0,14.0,inf,한내,68
