vessel_id,block,length,width,height,weight,location
 SN2598, T720S,20.0,11.0,3.1,18.0,사내
 SN2598, B131S,17.0,16.0,3.1,111.0,사내
 SN2590, E530S,16.0,15.0,6.5,33.0,사내
 SN2601, D331P,16.0,14.0,4.1,38.0,사내
 SN2590, S210S,18.0,12.0,8.4,17.0,사내
 SN2612, S16AS,20.0,11.0,2.7,21.0,사내
 SN2612, T331S,18.0,16.0,2.8,76.0,사내
 SN2597, D181S,16.0,11.0,1.9,34.0,사내
 SN2597, D180C,20.0,16.0,2.5,44.0,사내
 SN2601, T320P,18.0,17.0,2.9,44.0,덕곡1
 SN2598, E420P,23.0,22.0,5.9,124.0,사내
 SN2627, S093S,12.0,11.0,2.5,17.0,사내
 SN2453, H320P,20.0,11.0,5.0,23.0,OFD
 SN2611, D740S,19.0,11.0,4.2,49.0,신한내
 SN2601, S122S,21.0,11.0,4.2,21.0,성동
 SN2611, D320P,16.0,14.0,4.2,25.0,봉암9
 SN2601, S131S,22.0,16.0,2.6,101.0,사내
 SN2456, D391S,20.0,11.0,4.8,18.0,사내
 SN2614, E571P,13.0,11.0,1.2,9.0,사내
 SN2604, G140S,14.0,11.0,4.7,22.0,OFD
 SN2454, F630C,19.0,11.0,2.7,13.0,한내
 SN2601, B140P,21.0,16.0,3.2,71.0,사내
 SN2604, D730S,18.0,14.0,6.7,33.0,사내
 SN2602, G370S,11.0,4.0,1.6,3.0,봉암9
 SN2597, D310P,20.0,14.0,5.3,34.0,사내
 SN2611, S130P,21.0,19.0,5.4,60.0,오비1
 SN2455, E350C,20.0,14.0,2.9,53.0,사내
 SN2598, S113P,21.0,11.0,2.8,32.0,사내
 SN2603, D191P,15.0,11.0,1.9,33.0,성동
 SN2614, S080S,15.0,12.0,5.6,16.0,봉암9
 SN2612, E421S,11.0,10.0,1.5,11.0,덕곡2
 SN2591, H160S,14.0,11.0,3.0,14.0,한내
 SN2597, D340P,21.0,14.0,4.4,33.0,성동
 SN2457, A312P,11.0,10.0,2.8,14.0,오비3
 SN2601, T520P,11.0,6.0,2.9,3.0,사내
 SN2454, F620P,19.0,11.0,2.7,22.0,덕곡2
 SN2456, D293S,16.0,11.0,2.0,8.0,사내
 SN2603, D110C,20.0,20.0,3.5,53.0,사내
 SN2457, E320S,16.0,13.0,5.9,31.0,사내
 SN2614, A210C,16.0,11.0,8.9,23.0,OFD
 SN2457, E51AP,14.0,11.0,2.0,16.0,오비1
 SN2612, E521P,12.0,11.0,2.6,11.0,봉암9
 SN2591, S151S,15.0,13.0,2.3,38.0,사내
 SN2457, E110P,16.0,12.0,7.6,19.0,한내
 SN2597, G140S,14.0,11.0,4.7,23.0,덕곡1
 SN2601, D715S,11.0,10.0,1.0,6.0,한내
 SN2590, E540P,15.0,14.0,3.4,33.0,사내
 SN2590, T190C,12.0,11.0,2.2,25.0,사내
 SN2611, G130S,16.0,11.0,4.3,18.0,봉암9
 SN2601, B130P,22.0,16.0,3.2,66.0,신한내
 SN2597, F520P,20.0,20.0,7.2,84.0,사내
 SN2455, M710P,15.0,11.0,3.3,63.0,사내
 SN2453, E710P,22.0,13.0,6.6,84.0,사내
 SN2614, E540S,15.0,14.0,3.4,33.0,봉암9
 SN2602, D360P,15.0,14.0,4.9,24.0,사내
 SN2611, D411P,20.0,13.0,4.1,43.0,사내
 SN2607, M220P,18.0,12.0,3.6,34.0,한내
 SN2603, D730S,19.0,11.0,6.2,19.0,사내
 SN2627, F210C,18.0,17.0,5.2,26.0,사내
 SN2603, H140P,21.0,12.0,6.4,33.0,한내
 SN2611, T351S,16.0,16.0,2.7,51.0,성동
 SN2612, E422S,12.0,11.0,2.9,18.0,덕곡2
 SN2598, B151P,17.0,15.0,3.1,77.0,덕곡2
 SN2627, E510P,24.0,12.0,7.8,51.0,사내
 SN2603, D130C,20.0,16.0,1.9,47.0,사내
