vessel_id,block,length,width,height,weight,location
 SN2611, E440C,21.0,14.0,5.7,79.0,OFD
 SN2616, E33CS,11.0,11.0,3.0,6.0,덕곡2
 SN2590, A110C,13.0,11.0,11.5,30.0,OFD
 SN2602, F210P,15.0,11.0,5.1,8.0,한내
 SN2463, A21CS,11.0,8.0,2.6,6.0,덕곡2
 SN2627, S391P,17.0,13.0,2.6,58.0,덕곡2
 SN2603, D391P,15.0,14.0,4.1,36.0,봉암9
 SN2603, D161S,15.0,11.0,1.9,34.0,성동
 SN2590, E640C,15.0,13.0,5.4,49.0,성동
 SN2599, E11EP,12.0,11.0,2.6,14.0,성동
 SN2616, E43AS,11.0,11.0,2.6,7.0,봉암9
 SN2603, D530S,16.0,11.0,2.2,16.0,OFD
 SN2603, T110P,15.0,15.0,2.7,71.0,봉암8
