vessel_id,block,length,width,height,weight,location
 SN2591, H170S,11.0,10.0,4.5,10.0,봉암9
 SN2614, A410S,12.0,11.0,6.6,11.0,덕곡1
 SN2453, S630P,18.0,11.0,7.9,19.0,성동
 SN2615, E410S,18.0,15.0,5.4,42.0,성동
 SN2598, D711S,19.0,11.0,1.0,15.0,봉암8
 SN2615, S08AP,15.0,11.0,1.8,8.0,성동
 SN2627, S093S,12.0,11.0,2.5,17.0,한내
 SN2455, B180S,19.0,18.0,2.3,53.0,덕곡1
 SN2615, M120S,11.0,11.0,4.4,24.0,봉암9
 SN2598, D722S,18.0,11.0,1.9,15.0,신한내
 SN2615, E513S,12.0,11.0,2.0,17.0,덕곡2
 SN2456, D192P,11.0,8.0,2.3,7.0,봉암9
 SN2627, E340S,16.0,13.0,6.7,23.0,성동
 SN2597, D620S,15.0,12.0,2.2,24.0,성동
 SN2598, T322P,15.0,11.0,3.0,33.0,신한내
 SN2603, F331P,11.0,10.0,4.0,13.0,봉암9
