,vessel_id,block,length,width,height,weight,location
332, SN2463, A21BS,11.0,8.0,2.6,9.0,사내
208, SN2598, F44AS,11.0,9.0,4.2,9.0,사내
214, SN2603, D391S,15.0,14.0,4.1,37.0,사내
446, SN2463, E424S,11.0,4.0,2.6,3.0,사내
198, SN2456, A12AS,11.0,7.0,2.8,6.0,사내
403, SN2456, D192P,11.0,8.0,2.3,7.0,사내
77, SN2634, A21BS,14.0,11.0,3.2,20.0,사내
115, SN2615, E330S,15.0,11.0,6.0,13.0,사내
20, SN2615, S141S,15.0,11.0,2.3,31.0,사내
155, SN2591, H160S,14.0,11.0,3.0,14.0,사내
584, SN2597, F310P,15.0,12.0,8.2,10.0,사내
465, SN2590, A110C,13.0,11.0,11.5,30.0,사내
295, SN2599, E11FP,11.0,8.0,3.2,22.0,사내
364, SN2598, D521S,11.0,10.0,2.5,6.0,사내
394, SN2456, D191S,11.0,9.0,2.3,7.0,사내
359, SN2463, A21DS,11.0,8.0,2.9,7.0,사내
503, SN2607, E240C,21.0,15.0,4.0,73.0,사내
375, SN2602, T350S,16.0,16.0,2.8,32.0,사내
166, SN2627, S180S,19.0,11.0,6.2,24.0,사내
514, SN2615, E340C,16.0,15.0,5.3,33.0,사내
429, SN2456, E512P,19.0,11.0,2.0,17.0,사내
