,vessel_id,block,length,width,height,weight,location
553, SN2590, E510S,14.0,12.0,7.1,31.0,사내
271, SN2611, D391S,15.0,14.0,4.1,37.0,사내
585, SN2603, D770S,11.0,8.0,3.7,7.0,사내
496, SN2614, E370P,12.0,12.0,4.0,6.0,사내
55, SN2456, E341P,13.0,12.0,5.7,32.0,사내
33, SN2456, D291S,11.0,10.0,2.0,4.0,사내
457, SN2607, A110P,11.0,7.0,10.7,18.0,사내
96, SN2456, E511S,13.0,11.0,2.8,19.0,사내
374, SN2612, T531S,11.0,6.0,2.8,6.0,사내
299, SN2615, M120S,11.0,11.0,4.4,24.0,사내
162, SN2611, E310S,15.0,14.0,5.0,25.0,사내
128, SN2615, M220P,11.0,11.0,4.1,25.0,사내
238, SN2463, A21AS,11.0,8.0,2.6,9.0,사내
78, SN2601, E360C,11.0,11.0,1.8,9.0,사내
485, SN2601, A110P,11.0,6.0,10.5,16.0,사내
310, SN2591, B170S,11.0,10.0,2.0,12.0,사내
276, SN2614, A410S,12.0,11.0,6.6,11.0,사내
218, SN2603, B200S,21.0,15.0,8.0,33.0,사내
25, SN2601, H130S,22.0,12.0,6.5,37.0,사내
158, SN2612, T131P,16.0,14.0,2.8,81.0,사내
488, SN2601, H140S,21.0,12.0,6.5,34.0,사내
323, SN2591, D360P,16.0,11.0,5.5,37.0,사내
