,0,1,2,3,4
0,23.0,16.0,1000.0,1.0,2.0
1,24.0,19.0,1000.0,1.0,3.0
2,25.0,23.0,1000.0,1.0,3.0
3,0.0,0.0,0.0,0.0,0.0
4,21.0,13.0,5.0,2.0,3.0
5,21.0,16.0,5.0,2.0,3.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,16.0,16.0,1000.0,3.0,1.0
9,21.0,16.0,1000.0,3.0,1.0
10,24.0,17.0,1000.0,3.0,2.0
11,25.0,23.0,1000.0,3.0,3.0
12,21.0,15.0,1000.0,4.0,3.0
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
16,21.0,15.5,5.8,5.0,5.0
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,21.0,15.5,5.8,6.0,6.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,25.0,22.0,1000.0,7.0,12.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,25.0,14.0,1000.0,8.0,6.0
29,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0
32,25.0,23.0,1000.0,9.0,6.0
33,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0
36,25.0,16.0,1000.0,10.0,6.0
37,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0
