,vessel_id,block,length,width,height,weight,location
237, SN2456, E373S,14.0,11.0,2.6,15.0,사내
108, SN2590, A410S,12.0,11.0,6.6,11.0,사내
473, SN2614, S390S,15.0,14.0,5.2,18.0,사내
50, SN2614, E520S,15.0,14.0,7.2,30.0,사내
424, SN2616, E33CP,11.0,11.0,3.0,6.0,사내
172, SN2590, E520P,15.0,15.0,7.2,34.0,사내
363, SN2611, D540S,11.0,5.0,2.2,2.0,사내
142, SN2603, T110S,15.0,15.0,2.7,86.0,사내
410, SN2614, A110C,13.0,11.0,11.5,30.0,사내
220, SN2614, F520P,13.0,11.0,5.2,11.0,사내
596, SN2614, F623S,11.0,6.0,3.0,5.0,사내
595, SN2597, F310S,15.0,12.0,8.2,10.0,사내
102, SN2611, T140P,15.0,14.0,2.9,33.0,사내
312, SN2455, M320S,12.0,11.0,4.4,17.0,사내
216, SN2615, D360S,15.0,11.0,5.5,35.0,사내
516, SN2615, E61AP,11.0,10.0,2.0,7.0,사내
24, SN2607, E523P,12.0,11.0,2.7,16.0,사내
484, SN2614, F631S,12.0,12.0,4.0,24.0,사내
414, SN2597, D530S,22.0,11.0,7.6,36.0,사내
233, SN2598, S113S,21.0,11.0,2.8,32.0,사내
189, SN2612, S14AP,21.0,11.0,2.7,22.0,사내
557, SN2456, B191P,20.0,16.0,2.4,71.0,사내
179, SN2603, D340S,20.0,13.0,4.2,31.0,사내
