vessel_id,block,length,width,height,weight,location
 SN2603, T151C,20.0,15.0,2.7,98.0,신한내
 SN2612, M220S,20.0,12.0,3.6,41.0,사내
 SN2601, S121P,21.0,16.0,2.6,80.0,사내
 SN2602, F520P,19.0,18.0,6.3,81.0,사내
 SN2612, M510P,23.0,19.0,3.8,71.0,오비1
 SN2456, E110S,16.0,12.0,7.6,18.0,성동
 SN2611, F522P,12.0,11.0,3.6,15.0,성동
 SN2612, T531P,11.0,6.0,2.8,6.0,성동
 SN2615, S350P,14.0,11.0,7.0,19.0,성동
 SN2601, H140P,21.0,12.0,6.5,34.0,사내
 SN2615, E513S,12.0,11.0,2.0,17.0,사내
 SN2597, F520S,20.0,20.0,7.2,71.0,사내
 SN2601, D341P,20.0,14.0,4.1,49.0,사내
 SN2611, E520S,22.0,14.0,5.3,59.0,사내
 SN2591, D150S,12.0,11.0,5.8,18.0,사내
 SN2608, E114S,16.0,11.0,4.3,21.0,사내
 SN2598, D321P,16.0,14.0,4.0,38.0,사내
 SN2601, S111S,21.0,16.0,2.6,93.0,신한내
 SN2598, M510P,23.0,18.0,4.0,72.0,사내
 SN2611, T350S,16.0,16.0,2.8,32.0,사내
 SN2597, D410S,18.0,14.0,4.4,38.0,봉암8
 SN2603, E380C,19.0,11.0,3.7,14.0,덕곡2
 SN2598, M610C,20.0,18.0,3.2,55.0,성동
 SN2601, D35AP,16.0,11.0,2.2,17.0,사내
 SN2616, E33AS,11.0,11.0,1.9,9.0,사내
 SN2612, E311S,15.0,11.0,3.2,22.0,덕곡2
 SN2603, D401P,18.0,14.0,4.1,37.0,봉암8
 SN2602, D171P,20.0,11.0,1.9,46.0,사내
 SN2601, D111S,20.0,11.0,3.4,48.0,봉암9
 SN2603, H130P,21.0,12.0,6.5,33.0,사내
 SN2602, F520S,19.0,18.0,6.3,68.0,사내
 SN2614, E540P,15.0,14.0,3.4,33.0,봉암8
 SN2598, D712S,19.0,11.0,1.0,14.0,덕곡1
 SN2453, S630S,18.0,11.0,7.9,19.0,사내
 SN2598, B130P,17.0,16.0,3.1,50.0,사내
 SN2615, S190S,17.0,13.0,4.8,18.0,봉암8
 SN2603, S130P,21.0,19.0,5.4,60.0,덕곡1
 SN2591, E410S,18.0,15.0,5.4,42.0,사내
 SN2611, T351S,16.0,16.0,2.7,51.0,성동
 SN2611, T130P,17.0,14.0,2.9,44.0,덕곡2
 SN2614, E530P,16.0,15.0,6.5,33.0,사내
 SN2602, F530C,21.0,11.0,3.3,25.0,성동
 SN2455, M510S,19.0,12.0,4.7,58.0,오비3
 SN2463, D39BP,21.0,11.0,2.0,15.0,한내
 SN2611, D340S,20.0,13.0,4.2,31.0,성동
 SN2598, T320S,26.0,16.0,3.1,70.0,사내
 SN2612, T131P,16.0,14.0,2.8,81.0,사내
 SN2590, F520S,13.0,11.0,5.2,13.0,봉암8
 SN2591, S341P,11.0,10.0,2.3,12.0,봉암9
 SN2601, E230P,17.0,13.0,4.3,28.0,사내
 SN2627, D280P,20.0,12.0,1.6,35.0,사내
 SN2601, D721S,13.0,11.0,1.0,6.0,사내
 SN2611, F521P,16.0,11.0,2.8,11.0,봉암8
 SN2612, S16AP,20.0,11.0,2.7,21.0,성동
 SN2455, S180S,29.0,18.0,5.4,39.0,사내
 SN2614, S610S,15.0,11.0,4.0,2.0,덕곡1
 SN2607, M120S,20.0,13.0,6.2,58.0,한내
 SN2611, D381S,16.0,14.0,4.1,35.0,덕곡1
 SN2611, E260C,18.0,18.0,6.4,56.0,신한내
 SN2627, F210C,18.0,17.0,5.2,26.0,덕곡1
 SN2590, A430C,15.0,11.0,2.8,23.0,성동
 SN2456, D192P,11.0,8.0,2.3,7.0,신한내
 SN2456, E241P,15.0,11.0,6.2,32.0,성동
 SN2603, F131P,11.0,11.0,3.1,13.0,봉암8
 SN2455, S180P,29.0,18.0,5.4,39.0,사내
 SN2453, H200S,19.0,14.0,5.6,66.0,사내
 SN2607, A212S,19.0,11.0,6.1,50.0,한내
 SN2603, D201P,18.0,11.0,1.9,37.0,사내
 SN2456, H121S,21.0,11.0,5.0,36.0,신한내
 SN2615, E52AS,11.0,9.0,1.7,5.0,한내
 SN2601, S111P,21.0,16.0,2.6,93.0,성동
 SN2590, E540P,15.0,14.0,3.4,33.0,사내
 SN2603, F331P,11.0,10.0,4.0,13.0,덕곡2
 SN2604, G140S,14.0,11.0,4.7,22.0,사내
 SN2597, D320P,16.0,14.0,4.4,25.0,사내
 SN2612, M410P,22.0,18.0,3.6,66.0,신한내
 SN2455, M710P,15.0,11.0,3.3,63.0,성동
 SN2603, D820S,11.0,4.0,4.1,2.0,한내
 SN2601, S121S,21.0,16.0,2.6,84.0,신한내
 SN2616, E322P,15.0,11.0,3.8,27.0,사내
 SN2601, D331S,16.0,14.0,4.1,39.0,덕곡2
 SN2591, E310P,17.0,15.0,4.9,42.0,신한내
 SN2591, S341S,11.0,10.0,2.3,12.0,오비1
 SN2597, D400S,20.0,14.0,4.4,32.0,사내
 SN2607, M210P,20.0,11.0,3.6,54.0,사내
 SN2589, T15NP,11.0,3.0,0.5,1.0,사내
 SN2627, B120P,19.0,18.0,2.6,54.0,사내
 SN2607, E541P,11.0,6.0,2.5,5.0,사내
 SN2603, T320P,18.0,17.0,2.9,48.0,사내
 SN2611, S130S,21.0,19.0,5.4,60.0,덕곡1
 SN2611, D710S,15.0,11.0,5.8,7.0,한내
 SN2601, T321S,18.0,16.0,2.9,74.0,신한내
 SN2627, S101P,20.0,11.0,2.5,41.0,한내
 SN2602, F220C,18.0,15.0,5.2,29.0,신한내
 SN2634, A21BS,14.0,11.0,3.2,20.0,사내
 SN2457, A313P,18.0,11.0,3.5,20.0,사내
 SN2615, M310S,17.0,11.0,3.1,33.0,덕곡2
 SN2590, E560C,18.0,11.0,7.2,26.0,한내
 SN2457, E511S,13.0,11.0,2.8,19.0,덕곡2
 SN2601, D41AS,20.0,11.0,2.2,17.0,사내
 SN2454, M920S,12.0,11.0,3.2,17.0,OFD
 SN2611, F131P,11.0,11.0,3.1,13.0,봉암9
 SN2616, E43AP,11.0,11.0,2.6,7.0,봉암8
 SN2612, E110P,18.0,17.0,7.8,29.0,사내
 SN2627, E410P,21.0,12.0,5.2,33.0,OFD
 SN2590, A410P,12.0,11.0,4.3,11.0,봉암8
 SN2611, D181S,16.0,11.0,1.9,31.0,한내
 SN2615, E420S,18.0,15.0,5.5,43.0,사내
 SN2454, W820S,19.0,11.0,2.3,18.0,신한내
 SN2457, D293S,16.0,11.0,2.0,8.0,사내
 SN2604, D720S,20.0,18.0,6.7,50.0,사내
 SN2463, E424S,11.0,4.0,2.6,3.0,봉암9
 SN2456, A12BS,11.0,6.0,2.6,4.0,오비3
 SN2603, D540S,11.0,5.0,2.2,2.0,사내
 SN2615, M410P,24.0,11.0,3.5,42.0,사내
 SN2601, B120P,20.0,16.0,3.2,70.0,덕곡1
 SN2590, E660C,18.0,11.0,5.5,35.0,사내
 SN2598, D311S,22.0,14.0,4.7,53.0,사내
 SN2597, D210C,20.0,20.0,2.5,52.0,사내
 SN2598, T120S,21.0,11.0,3.0,22.0,사내
 SN2457, E320S,16.0,13.0,5.9,31.0,성동
 SN2611, E380C,19.0,11.0,3.7,14.0,사내
 SN2598, S122P,20.0,11.0,3.8,22.0,봉암8
 SN2463, E24AS,11.0,10.0,2.5,7.0,사내
 SN2604, D710S,20.0,17.0,6.7,36.0,사내
 SN2596, D720S,23.0,20.0,6.7,64.0,사내
 SN2590, A410S,12.0,11.0,6.6,11.0,사내
 SN2612, E332S,15.0,11.0,2.2,11.0,덕곡2
 SN2598, D321S,16.0,14.0,4.0,41.0,사내
 SN2591, H160S,14.0,11.0,3.0,14.0,신한내
 SN2612, E151C,12.0,11.0,2.7,31.0,사내
 SN2603, B110S,22.0,16.0,3.2,67.0,사내
 SN2615, E340C,16.0,15.0,5.3,33.0,사내
