id,vessel_id,block,width,length,height,weight
0, SN2603, D371P,15.5,21.0,5.8,48.0
1, SN2614, S390S,15.5,21.0,5.8,18.0
2, SN2614, S720P,15.5,21.0,5.8,25.0
3, SN2611, T140S,15.5,21.0,5.8,30.0
4, SN2627, A410S,15.5,21.0,5.8,21.0
5, SN2614, S080S,15.5,21.0,5.8,16.0
6, SN2463, E24AS,15.5,21.0,5.8,7.0
7, SN2463, E421P,15.5,21.0,5.8,39.0
8, SN2616, E42AS,15.5,21.0,5.8,10.0
9, SN2608, E32AS,15.5,21.0,5.8,6.0
10, SN2601, T120P,15.5,21.0,5.8,43.0
11, SN2611, E310P,15.5,21.0,5.8,25.0
12, SN2602, D160C,15.5,21.0,5.8,43.0
13, SN2615, S082P,15.5,21.0,5.8,9.0
14, SN2611, D371S,15.5,21.0,5.8,48.0
15, SN2611, F110P,15.5,21.0,5.8,21.0
16, SN2456, D392S,15.5,21.0,5.8,11.0
17, SN2601, E150C,15.5,21.0,5.8,50.0
18, SN2456, A12AP,15.5,21.0,5.8,6.0
19, SN2615, E350C,15.5,21.0,5.8,20.0
20, SN2455, M320S,15.5,21.0,5.8,17.0
21, SN2455, F710P,15.5,21.0,5.8,20.0
22, SN2455, F220C,15.5,21.0,5.8,8.0
23, SN2615, S141P,15.5,21.0,5.8,31.0
24, SN2603, T520P,15.5,21.0,5.8,3.0
25, SN2603, D401S,15.5,21.0,5.8,37.0
26, SN2601, E340C,15.5,21.0,5.8,67.0
27, SN2612, E332S,15.5,21.0,5.8,11.0
28, SN2596, G140S,15.5,21.0,5.8,23.0
29, SN2612, E422S,15.5,21.0,5.8,18.0
30, SN2627, A220S,15.5,21.0,5.8,30.0
31, SN2627, E410S,15.5,21.0,5.8,34.0
32, SN2590, B210C,15.5,21.0,5.8,2.0
33, SN2591, D350P,15.5,21.0,5.8,28.0
34, SN2456, D291P,15.5,21.0,5.8,5.0
35, SN2598, T110P,15.5,21.0,5.8,77.0
36, SN2612, T131S,15.5,21.0,5.8,74.0
37, SN2457, E413P,15.5,21.0,5.8,24.0
38, SN2615, E54YP,15.5,21.0,5.8,18.0
39, SN2614, S180P,15.5,21.0,5.8,15.0
40, SN2456, E410P,15.5,21.0,5.8,39.0
41, SN2615, M220P,15.5,21.0,5.8,25.0
42,,,15.5,21.0,5.8,
43,,,15.5,21.0,5.8,
44,,,15.5,21.0,5.8,
45,,,15.5,21.0,5.8,
46,,,15.5,21.0,5.8,
47,,,15.5,21.0,5.8,
48,,,15.5,21.0,5.8,
49,,,15.5,21.0,5.8,
