vessel_id,block,length,width,height,weight,location
 SN2597, G510P,11.0,5.0,1.6,2.0,사내
 SN2614, E520S,15.0,14.0,7.2,30.0,사내
 SN2598, T321P,19.0,15.0,3.1,85.0,사내
 SN2615, E53AP,16.0,11.0,1.8,25.0,사내
 SN2616, E421S,15.0,11.0,1.4,11.0,사내
 SN2616, S35XS,14.0,11.0,1.7,20.0,사내
 SN2455, M610P,20.0,12.0,4.3,54.0,사내
 SN2590, F520P,13.0,11.0,5.2,11.0,사내
 SN2591, D180C,15.0,12.0,5.8,19.0,사내
 SN2627, H120P,19.0,11.0,6.6,16.0,사내
 SN2611, T351S,16.0,16.0,2.7,51.0,사내
 SN2612, M410P,22.0,18.0,3.6,66.0,사내
 SN2596, G140S,14.0,11.0,4.7,23.0,사내
 SN2456, E511S,13.0,11.0,2.8,19.0,사내
 SN2614, E510S,14.0,12.0,7.1,31.0,사내
 SN2611, D371P,20.0,14.0,4.1,48.0,사내
 SN2598, M310S,22.0,18.0,4.0,64.0,사내
 SN2612, E532P,11.0,4.0,1.7,3.0,사내
 SN2601, E380C,19.0,11.0,1.3,7.0,사내
 SN2627, E632S,19.0,11.0,5.3,29.0,사내
 SN2615, S350P,14.0,11.0,7.0,19.0,사내
 SN2607, E110S,18.0,17.0,7.8,26.0,사내
