length,width,height,count,location
10.0,9.0,1000.0,1,HSG성동
15.0,15.0,1000.0,1,HSG성동
17.0,6.0,1000.0,1,HSG성동
18.0,15.0,1000.0,1,HSG성동
20.0,18.0,1000.0,1,HSG성동
20.0,19.0,1000.0,1,HSG성동
21.0,12.0,1000.0,1,HSG성동
21.0,14.0,1000.0,1,HSG성동
21.0,19.0,1000.0,1,HSG성동
23.0,6.0,1000.0,1,HSG성동
23.0,18.0,1000.0,1,HSG성동
24.0,6.0,1000.0,1,HSG성동
24.0,7.0,1000.0,1,HSG성동
24.0,10.0,1000.0,1,HSG성동
20.0,17.0,1000.0,1,덕곡1
11.0,5.0,5.0,1,덕곡2
16.0,5.0,5.0,1,덕곡2
13.0,11.0,5.0,1,덕곡2
10.0,6.0,5.8,1,봉암8
10.0,9.0,5.8,1,봉암8
15.0,12.0,5.8,1,봉암8
12.0,5.0,5.8,1,봉암9
14.0,5.0,5.8,1,봉암9
19.0,12.0,5.8,1,봉암9
12.0,11.0,1000.0,1,신한내
16.0,12.0,1000.0,1,신한내
18.0,14.0,1000.0,1,신한내
19.0,5.0,1000.0,1,신한내
20.0,15.0,1000.0,1,신한내
23.0,16.0,1000.0,1,신한내
13.0,8.0,1000.0,1,오비3
12.0,12.0,1000.0,1,한내
13.0,11.0,1000.0,1,한내
14.0,8.0,1000.0,1,한내
15.0,10.0,1000.0,1,한내
16.0,13.0,1000.0,1,한내
18.0,10.0,1000.0,1,한내
22.0,8.0,1000.0,1,한내
24.0,13.0,1000.0,1,한내
